consuming_tx_hash,input_tx_out_id,input_created_in_tx,input_out_index,input_lovelace,input_ada,input_address,address_role
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5192620,10ed1cc22e8b26a5fc4541e55e830a0c753b408fe2448f8e5dc75013b936e09d,0,482121461,482.121461,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5195280,256011a9b175e285f2a37c7ebd02cc030acad8b931fd368889f649787c8ed0ff,0,7256233984,7256.233984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5198443,e0e5d567d191c45cf38937d92c3bc4489565bf38318e6d40f4d0eeb6be430086,0,7764196984,7764.196984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5201048,795f62af8a3d61dcf433f1d88e7cb2bcff3c02e20ebf0d5bd9056011eeb9e556,0,214580373,214.580373,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5202441,78a94007867891aca52583d991bd47acb03748b93c8db21d55bc5566b0e77c6d,0,4427629339,4427.629339,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5204155,86ab1c49c5abf140a8da74136e80a9dbbf55879da74bc0e441bd4ab1d8b9bcbf,0,2826691048,2826.691048,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5204634,c87a7b4ce5fa95351e91032c7ec621fc3d9a176a7ae8949e8a6f7352cb32fe55,0,18829226029,18829.226029,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5212877,39d2d22732083111d70bc590ef935277e2c47dfb8b3039bca7a7a4b19b2319a8,0,9997659882,9997.659882,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5213108,66941e8559fea4ead662e533476077e2d9ec91f7b9896c6495ab4e68d603ebbd,0,5336820284,5336.820284,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5217099,28875d56deba2405ee51fce37e222fd321e9c4b77f62dfe332e5b242436de942,0,500834159,500.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5229894,2382370d602e5d9e27aa842117bf1e1a65ac860822e7f3df87222b4a50b63b94,0,21907631958,21907.631958,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5235071,68e84d52ed841ea0940ae9e22f142bc0382dbc5423876fa2bf1745d1ab48d5eb,0,2498834159,2498.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5240430,8fb8c854c7b1e7302f9a4570c13b425c5dc612c0d21f7852a5b4bf0deb647fa0,0,2355678959,2355.678959,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5242203,372b6d4d7d7734c8a7e9e164cb5c5776667bce51f9afa120b83ad04c7b186c56,0,14999833984,14999.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5242759,f9970a99506a930ecd73397e856f9adbfa4e9de577b03f6dcada9200859aca23,0,40469050012,40469.050012,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5242893,9b76ef9bc5a446725899ddc03cce2ae0d2b0545fa2b28bde1bf092693dbc09df,0,56315833984,56315.833984,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5243635,45879a1817325b137befcbe88ee8c1a48c38368ddb250e9717154ab2410609e1,0,99834159,99.834159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
26174c832f6261944ac9074817b0dbe8ef7f81d55f193723672cfd0065d0bc04,5244551,39b2337884d182c8d1f60fd8de8312cc8064e4d15d1a8b4052cd3aea50919187,0,187634159,187.634159,Ae2tdPwUPEZHiXixpj6Xdju5jti25cY7QhjHZ3WiZypCsfEJoJx5fGujAKn,bridge
