consuming_tx_hash,epoch_no,block_time,iog_dest_ids_count,e2_dest_ids_count
fe235723fda0b21bab0eb72772ede9d979ed3c1949c4cee53979c2f22d4e1f9d,252,2021-03-08 04:13:25+00,8,8
892c91dcac1ca69eb9360ae80ce436b9c742940f581c6f867b0a7bc7b6c8c27a,252,2021-03-08 03:26:29+00,12,36
2ba4050b0e3766b6624d8a8539b2d1b23c26f2e181ab1b6da7ac11ac82370edd,252,2021-03-08 02:50:55+00,18,18
14f93ae9869959f61719a39c1440029eca93756cd8e144cf0899d120b4e83c00,252,2021-03-10 12:44:25+00,8,8
ab6fbfe642338a1f10f2ceed05944775574e02b228ab11a66e4d022d92996167,252,2021-03-09 03:40:34+00,4,2
07e526757e1646df903647d2a74314718503aee60e4698ae0af0c431b2fbe309,252,2021-03-09 01:45:35+00,12,24
7dc6ea1046e801ea75ae1cbb80c7cf1930309fa6ac06bc5ba8a5a4cafc0334f5,252,2021-03-08 15:17:26+00,16,16
bdac692b595f162b13989376ddaf661d0544d0188b4760f1b5d712e95d5c2194,252,2021-03-08 05:52:36+00,48,36
75868682554bd8ad216eb4d39e7460225bbf2ad8127c1013a1b058889587c17f,252,2021-03-07 13:30:53+00,2,2
54d11517aa4ab637e43acb34d254ad10f9ed8e8a99d0a73f1df40f79c2ef983e,252,2021-03-11 19:46:13+00,2,2
9d76cd83828ded3eedd67805222d628ac226a8216e28a5116f80152a9471f47b,252,2021-03-10 17:06:22+00,22,22
2fbe8154cb1de1ae357d4a77ef088bc1cf4a7f0fa9693d1cf0d84e6a35ed3d61,252,2021-03-10 13:34:15+00,42,28
c631bbab1273b09758a2804c4184149090c651369ea3b2b17e942493131c45ea,253,2021-03-13 18:15:22+00,18,18
d4c5a165229a253f9f925875e5b21598c6590b40978297ca621fbd0b7f8f9580,253,2021-03-11 23:02:39+00,44,44
10519d82b7be3d54eed50dc3b8c18a47f3b0a306f1094337112f1fd4a07c2966,253,2021-03-12 03:57:30+00,14,42
0172f82960441614fbdca87b4872b1a0a39671d39258e4f4b3c1b4cdbf5a76cb,253,2021-03-11 23:12:21+00,28,28
174108df03963eaafc7998d0f63ae5f3fb9f27c4cac8eed5754e640e2a0473aa,253,2021-03-15 20:01:58+00,16,8
d3876871e51fde47129998527b41e0938268d75c5e4c02a87aeea74303d69cce,253,2021-03-14 01:35:34+00,28,28
41f5627e59720cc3861222475329c79f953cb07a7c87f4c2963ad6a4db90d87f,253,2021-03-12 13:45:02+00,44,22
12da560564b22db0696f7383495e026a03a32e25af68ed8959cf3eb108292dce,254,2021-03-18 05:56:27+00,12,24
a594b7fdcec5f98b4feddb72c43b4d72f08f13c41945ce37ed02d9a94ab76f03,254,2021-03-19 19:37:53+00,30,30
29baf2116e68834c8f63157bc9c6bd8abc41535ec80ae68c7318df6e27f74186,254,2021-03-19 04:37:45+00,12,12
101bc49cc9361242158f6ff23095e12c695bdc3ef4ef24584289e9815835c64f,254,2021-03-18 20:49:04+00,30,90
090c231e6dbc9955e2bfe55eab5061138f20c8835a0fa36d4b38493551e5a34a,254,2021-03-18 06:28:39+00,20,20
678e71ec385d1d25049c0ad93f47a71ad616e9b4885fb1e0cad7da5b80564910,254,2021-03-19 04:26:38+00,56,56
370f14520fec44d9c4100b5a64497b305502d574c8a10ca1fcdbcad4b2fd16f6,254,2021-03-18 15:24:31+00,10,2
db5462522263ec17e4a373f81d2f3cf4c7315799bbbe49cd4c198ad192303ff3,254,2021-03-18 18:45:47+00,30,60
57b5ee490a74a17303ee0b3d42162c7a693118ab35300eb5f09abf2dfef27619,254,2021-03-18 00:47:23+00,20,20
fc7542d548bedf718b638b09ac74526d0308619f62e38fa33c4bd26810693ddf,254,2021-03-19 19:57:13+00,30,30
6912217552682f28e92d59adbe69e1105b5dbd6f99722b32309830ccb356a674,254,2021-03-16 22:10:03+00,60,30
3a51d4b800e623119cb4429e649f4d3381d863c6998c298b5485f9f11538201e,254,2021-03-18 08:58:22+00,6,6
b691e8c141670eb6f80f7caf948e5663c94fe3d7c9f9c26a7145a1cb1399d396,254,2021-03-21 05:45:46+00,10,10
e363c5f84e267d4ef85760e5fbe3d8ce5c9308ddb66f35d88d1c9cf395c9de64,254,2021-03-17 21:15:55+00,30,30
e8b71971d1fd3333dbf189c84c88a6a7b1753b65c01097d97d48134a8b0a0479,254,2021-03-17 08:01:02+00,2,2
a302a276e2e1e8cd44de385f0184030807b02147b4f7011aef52661c1aa95da2,254,2021-03-20 19:17:10+00,52,78
688cfb8b7d7d466b48ddf00231a6a12dd54d1503051bba8ab5fac337da665d22,254,2021-03-17 04:21:16+00,20,20
35a17ef5d28ecb8a5f9369c5f237d9555cb536e960091a995f0da3691606fb78,254,2021-03-20 08:58:09+00,14,14
70bc52a12a246be8ad4f4c89fb4fb51e174955985455dfffbdbb508696c4f7ea,254,2021-03-19 02:16:55+00,18,18
8a5ac882ed62f1207fd1b293373777e796ba17315d5a8883c97ab6c6c3ed032b,254,2021-03-18 16:20:24+00,2,2
8b1cac5177c7f77907faae7c90ffc1d730f59c4df90853d6da0de0ae83142303,254,2021-03-19 02:06:36+00,18,18
2adecb1e26ab01b48d60e3d4476ad254f2d057b54b52d7d950b3206ae4e58576,254,2021-03-19 13:25:08+00,42,14
65887f747deb4f045b146fd9dddd8e81ae44c3b6d3a89f47a30555771f979b4c,254,2021-03-18 06:06:49+00,20,20
a26a7e5b739a2d4775ce3779a27f7daebd3b355e991e4a6f02d5407de55b4e17,255,2021-03-26 16:10:44+00,6,6
02ee23002a674aae449abb81b4599fb481dfbc9bf67a8f94cf4d9d3aa617a5d2,255,2021-03-23 13:27:16+00,14,28
8204226e2c33aa4b31545978b757f04f3e5013486c932f5c9ab9145c22bda995,255,2021-03-22 09:45:32+00,6,6
f8b6e48d792cf60bcd1f51166740148b3ba0d19d4fac8fc60bdf6f38142c4ee8,255,2021-03-26 11:31:50+00,1,1
4d2fb005cced8d3580fcfa1e9fd0b61d9f3a15bab292b5c0905a7575e07a5fc8,255,2021-03-23 20:06:59+00,22,22
92cf7e1e534d5e5d4b9d0ddca80bbfebc7e6641b16bdf55b0c4f70bb9eae69a7,255,2021-03-25 22:04:40+00,4,2
