dest_address,rows,total_lovelace,largest_single_lovelace,first_epoch,last_epoch,label,category,confidence,source,total_ada,largest_single_ada
addr1w829tvklhux7jasppd6afgyd5el00dtz7g2dnjk5crw3ayczaawph,1,385497000000,385497000000,359,359,,,,,385497.0,385497.0
addr1w9y5suzdgdjwyvtdcdkup9kfnvjgywuvt22te6py5fucnqq0rflv6,1,385497000000,385497000000,433,433,,,,,385497.0,385497.0
addr1wxezw85aff33u5c2j7umg67yy7t0ap4aexauwz578vrdhtq7yugxm,1,385497000000,385497000000,468,468,,,,,385497.0,385497.0
addr1wxn80nzmnpkz0vftmvqa8ppl6465r44myu7wqtll3xe047g9v733r,1,385497000000,385497000000,372,372,,,,,385497.0,385497.0
addr1w9z75htxma7aeqkj8ddgrxqfqmck9xptrahd2s6g47hykmcmn3e99,1,385496000000,385496000000,499,499,,,,,385496.0,385496.0
addr1wyezym9ky2h070755glzxjsr489kh5gsutalnj5asu34rhqan7glm,1,385496000000,385496000000,432,432,,,,,385496.0,385496.0
addr1w8dd7306e8ttfpsrdvgd32pcp6fqztxsw3v8psrhwpreqkqj53vtw,1,385495000000,385495000000,481,481,,,,,385495.0,385495.0
addr1wxnvhtpp5lmnxseehwjhfsc5ez56ydpjcmjce67jkkxlsss3lf66g,1,385495000000,385495000000,481,481,,,,,385495.0,385495.0
addr1w9cf6w0zz2h7jmmy3mgj6t5vacg5xyfrca0fuvlue2ey2fq38edk6,1,385051000000,385051000000,374,374,,,,,385051.0,385051.0
addr1w85q2zzwtkkq3ka0ge7x75kyl3rca2v9gfcfxd0dlr3exaqdewtr3,1,384605000000,384605000000,473,473,,,,,384605.0,384605.0
addr1wypsntw3wec4zrsydv4wccx39735qzvm7qa4mp2qn6zsxmg2nty9j,1,384605000000,384605000000,488,488,,,,,384605.0,384605.0
addr1w8sca2hl8y475uemnulx9azz0ld2k8axrup3xmasectef2g3x4hcd,1,384240000000,384240000000,390,390,,,,,384240.0,384240.0
addr1wy6laan8ahxc0mes73crdd0y80k7kuxkyr4grl4e2j7m48qketv89,1,383279000000,383279000000,432,432,,,,,383279.0,383279.0
addr1w8axhvewzxc4f9erlq5y0mmjlp29kh5c3d9r59tmy7c685gfpmupj,1,382995000000,382995000000,377,377,,,,,382995.0,382995.0
addr1wx3avrf0ykfjd2s0vt57cx4zvavsdzs6g2wrn8t33yfuzpqvmhdjg,1,382469000000,382469000000,442,442,,,,,382469.0,382469.0
addr1w90cykc9q7khz88dj9na08rwxfrghlsjfyvftesr7p5xnys57fl58,1,380710000000,380710000000,446,446,,,,,380710.0,380710.0
addr1wxymgc76vu2cr4l6tn6q8kthju59fzzzjwze5k5uq8w27lgvqn79v,1,380670000000,380670000000,484,484,,,,,380670.0,380670.0
addr1wx6qljt7y93g5ja9jhts9r9tau9a3k5u5f42j8uvvtryeycfwng4a,1,379563000000,379563000000,437,437,,,,,379563.0,379563.0
addr1w8y9pz8ucensehmc4e39ys2a9lsmh6pvcc75ax4dpk3ew3qqefuvj,1,378331000000,378331000000,411,411,,,,,378331.0,378331.0
addr1wyc62n5pv9e07xxdkwyg5jqrn6qdfd5k3fqqk3qjm0y3sts0nlmnh,1,378300000000,378300000000,432,432,,,,,378300.0,378300.0
addr1wxmfmn9vzal24vazmn374wyvhp0hxjem98e9ecsz6dw8ptc8236cx,1,378068000000,378068000000,374,374,,,,,378068.0,378068.0
addr1wy9gvuhf2njcemhtut4keg2sd0mpny6d8330ft4jar86gpqsl8f4q,1,376899000000,376899000000,435,435,,,,,376899.0,376899.0
addr1w9twqu4zqwgentkufleptuzef25c839hmnkjsjqwutsn9kg4zwg4z,1,374918000000,374918000000,369,369,,,,,374918.0,374918.0
addr1w8ypm7a6pe6rlsaq4ksc75lvdh50hzwz5hedsqnr0h952lqkq8elz,1,337719000000,337719000000,439,439,,,,,337719.0,337719.0
