epoch_no,drep_id,drep_hash_id,has_script,amount_lovelace,active_until
653,drep120kypfarsk0z5534fu8mtm6sl7gyqc3cz6udcfm4a3ty759ld55,2022,False,1016678814613,672
653,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,1570,False,82290495863151,671
653,drep122nnpfmsaldvuxkvy8tuv07cpfavjrwrycagxl7f6lxecfymazh,65480,False,614573770863,571
653,drep122rgx3yhs7awjuxfe8kza5fz9qhyag7pdmfan55kh9gnc8394zp,120,False,360866208,529
653,drep123rfujrtx67l5sxmr8mc7mh3qgm98j5fpa7ju5mjw7xvsy89nep,21921,False,1667566731240,655
653,drep123yjzps6k4h0uqv0athzm2tayy0fp5j9zp8f8c246d2x2gx0u6f,83574,False,63110202280,655
653,drep124hypkp8vazlxywzughq2y04umz649rshfkhwyzyc093ytv47ct,17426,False,97749431,543
653,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,6,False,34329726700189,666
653,drep126500kjc03c4sag4xwh35cpj9s7r5s3p8efckr8vy997sc9zpvh,49580,False,50483727493,559
653,drep127cju8sfz0ly2v4sl4xfuv96n8jhcm6epwyn9ppxgrd3w6c8r28,53162,False,600495665947,577
653,drep127egenn6ahk7ukkv3jafzr8k6tyspyhyz8qhx3dpmgtl2q87nse,457,False,91787156002,529
653,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,42,False,805668941070,668
653,drep128gmu25l3n4ypzm252rfhlhy8lx5kaaa9ht55n2wwngc6vfj8ze,115962,False,315723827672,591
653,drep1294mgyvmvt42asr3vchq23vf6zhcgy8pnwxer9eguxfujmqhx8y,32500,False,4268739,558
653,drep12986jd4g2c98f4wpmknpqsczf2r4227ve3l3c8q406305r3j4x2,108559,False,7704563,589
653,drep12a486rxd2zy6e8qefuwls7nuwc9h8u43c580q0rjf0xdjhlqge6,12118,False,3787676841,539
653,drep12a70cvh5tw5phkuhrvzk2ugg3vxdxsq5xsd4ysvgjshezsqeawh,1915,False,802921673029,655
653,drep12c4pxse36uk0986hgf3n08raacdxd79hrk7g6dcxs8sgqp4zjhz,138814,False,105760359,652
653,drep12dslal3veyszs8k8rnkaluk58l88cx4errkaksu3n9px6r6nkhp,52839,False,203702589,561
653,drep12fqtgzqxflrl6e8vqz6v896gu2cgeu5jmcjrtds5whl475d9l4m,160541,False,329217250471,611
653,drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw,1406,False,3861609747056,579
653,drep12fxzfx0eqxg8v6slzxmgzed2qlhwg8dyksluu0lpas9czkjn062,28344,False,10166169820,584
653,drep12g65mc0m2j3xjm83uyvedj5qgaa9av94uuvgkqsvzcqk6p3wz02,59796,False,25368816,567
653,drep12jc9gwq2r4et8gc5zf3nwtpmud340l3wcmfgeatdwej5kgf4qyr,59340,False,26914986071,567
653,drep12jutd9yn3p5suh7lue04w0uf89jl37vksew97ckg3kuh558f5u9,134498,False,50959754982,597
653,drep12lc3u3xz3h0l9vc4uku57m4cl44lcvdvjuugct48ch92gt8mfv9,5356,False,179830822408,530
653,drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,46759,False,734200649696,662
653,drep12ullhwc7sjv38ex76tg55mgca4dhesfer04kpcn8nrfy5wkmrzr,96145,False,23335925850,590
653,drep12x642saqpwjvz5ry7ycmhsgphsyurcx22vd9fpsjax0ev5ggzuv,48956,False,52238160350,572
653,drep12yeups2wk669czgajtrfrvde9ha328hh7sdlf88p0rtggsyf5al,114314,False,8923740921,591
653,drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,51854,False,63041500340,672
653,drep12zhz3cdfh9a898mpuftxztw4j45c26tnltz72gfr4f5tv7cd4lk,23886,False,4384909271374,664
653,drep133vuf8ku324h6qx4huasmrn0t4mky8eajwyvxz62d8f7kq0055k,219008,False,15962674860,662
653,drep1354sytnvd9vfemthjqqqy3rukdnkgh5hxynykq5qhu0870r7zua,960,False,412192082065,600
653,drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,594,False,335872546,617
653,drep136f85mauqk0sjknjrc23sprxuhllz8p3updn3rk6fsaxwcw3acv,233693,False,84121418,652
653,drep136mzs0m3l3nvlypgx6dek4ymsweydysfrl07ghfwj3r85xj89e5,162016,False,69142757293,612
653,drep1378kvl7nwsk78nr496q7vhmh642myeaepus5w9z9xcur5l6gtsn,3813,False,106540405,529
653,drep138pkk8tchdc26agwesenxxnt5ua9y9vmka4368ck9qf7k8ptzzq,23816,True,660460475735,568
653,drep138wvk4kvnpeflff3pvghqla6stey9unksj47rvydwzwtq0z3k2d,2188,False,4402336748,527
653,drep13adj4uc30ng90evtwtn8eu40yve5aptluvrt9wxrwgrkq42e5zp,40368,False,308238562,557
653,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,False,219931632473896,669
653,drep13da6nfpgj4aqr8nm2e89a3xyv8485sk9p0dsusz9f0hlz0qsg0m,26841,False,85874613,549
653,drep13dmnuuyysw9lwnx3yucw9ft9qrj2qjah4q87h5wecgwgkffu77s,61104,False,37163769253,568
653,drep13e4cu3kdfwsul7fluuv8c2zycfl70ywu64d0ysamk2m7xrv7rsv,3959,False,550603796886,672
653,drep13g5w9xzdtkcqzr4h8hmn9ffapnn6pg6m69txpy9xxhjdyy5f723,53656,False,684624598,652
653,drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,14704,False,32303997058085,670
653,drep13kczm9gva59uzucm3tdej4jgyjlj2lcj7wverypfk8r2sqkq5mj,3206,False,380726272096,561
653,drep13kgrakee6h3layn70aay0zf2ckgafna8d24hqpxuyhkv2flfv4v,253017,False,16131735295,662
653,drep13kmv9fc4axfryr4qzftjwt7zwcmsjyenr6xcp2y8lparqfakvg4,102555,False,404503491716,586
653,drep13l6fqfaa9wwr6gcx7flwyyymuu6wg5n38aw494a8xnt264z7nwq,17092,False,2400662181,652
653,drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,68,False,4829810706974,652
653,drep13m3x55v2h9z467ax870e3n9setzjxzzw5sqhq5a5hsn6q2xdeaj,64252,False,1295290519,570
