endpoint,endpoint_kind,target_host,target_port,resolved_ip,handshake_ok,failure,error_detail,rtt_ms,block_no,slots_behind_tip,at_tip,checked_at
ipv4:167.71.3.137,ipv4,167.71.3.137,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:17+00
ipv4:167.86.102.192,ipv4,167.86.102.192,6000,167.86.102.192,t,,,113.44,13865138,-14,t,2026-08-28 00:51:36+00
ipv4:167.86.104.141,ipv4,167.86.104.141,9000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:17+00
ipv4:167.86.108.182,ipv4,167.86.108.182,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:19+00
ipv4:167.86.111.233,ipv4,167.86.111.233,6000,167.86.111.233,t,,,109.88,13695758,3467239,f,2026-08-28 00:51:37+00
ipv4:167.86.126.174,ipv4,167.86.126.174,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:24+00
ipv4:167.86.127.14,ipv4,167.86.127.14,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:24+00
ipv4:167.86.72.182,ipv4,167.86.72.182,4002,,f,refused,Connection refused,,,,f,2026-08-28 01:20:24+00
ipv4:167.86.72.207,ipv4,167.86.72.207,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:24+00
ipv4:167.86.73.62,ipv4,167.86.73.62,6001,167.86.73.62,t,,,109.16,13865139,-41,t,2026-08-28 00:51:38+00
ipv4:167.86.74.225,ipv4,167.86.74.225,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:24+00
ipv4:167.99.113.192,ipv4,167.99.113.192,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:25+00
ipv4:167.99.14.252,ipv4,167.99.14.252,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:25+00
ipv4:167.99.222.204,ipv4,167.99.222.204,2210,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:25+00
ipv4:167.99.234.97,ipv4,167.99.234.97,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:26+00
ipv4:167.99.32.92,ipv4,167.99.32.92,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:26+00
ipv4:168.119.101.200,ipv4,168.119.101.200,6000,168.119.101.200,t,,,118.44,13865141,-45,t,2026-08-28 00:51:43+00
ipv4:168.119.120.138,ipv4,168.119.120.138,6002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:28+00
ipv4:168.119.13.158,ipv4,168.119.13.158,6000,168.119.13.158,t,,,120.86,13865141,-45,t,2026-08-28 00:51:43+00
ipv4:168.119.161.205,ipv4,168.119.161.205,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:20:28+00
ipv4:168.119.230.199,ipv4,168.119.230.199,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:28+00
ipv4:168.119.231.170,ipv4,168.119.231.170,6000,168.119.231.170,t,,,118.75,13865141,-45,t,2026-08-28 00:51:43+00
ipv4:168.119.247.165,ipv4,168.119.247.165,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:28+00
ipv4:168.119.250.59,ipv4,168.119.250.59,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:20:30+00
ipv4:168.138.40.76,ipv4,168.138.40.76,8131,168.138.40.76,t,,,169.46,13865141,-45,t,2026-08-28 00:51:44+00
ipv4:169.58.185.200,ipv4,169.58.185.200,6000,169.58.185.200,t,,,109.76,13865141,-45,t,2026-08-28 00:51:44+00
ipv4:169.58.186.24,ipv4,169.58.186.24,6000,169.58.186.24,t,,,108.99,13865141,-45,t,2026-08-28 00:51:44+00
ipv4:169.58.186.9,ipv4,169.58.186.9,6000,169.58.186.9,t,,,111.84,13865141,-45,t,2026-08-28 00:51:45+00
ipv4:169.58.237.170,ipv4,169.58.237.170,6000,169.58.237.170,t,,,110.71,13865142,-49,t,2026-08-28 00:51:45+00
