snapshot_utc,trace_schema,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,dedup_current_utxos,dedup_current_stake_credentials,dedup_current_lovelace,dedup_current_ada,trace_value_to_drep_power_ratio,min_depth,max_depth,root_overlap_summary
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,640,134663122023465,134663122.023465,coordinated_like,9,9,57511680699,57511.680699,0.00042708,14,14,emurgo+iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_no_confidence,27,640,176605061827128,176605061.827128,high_confidence_retained_like,10,10,56945429774,56945.429774,0.00032245,13,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1z4vr6q5kxpr7kmm667zgnpm7p2yps56zp3mqhjynt7sjyf4p65k,1846,640,1312619482146,1312619.482146,weak_behavior_signal,13,13,56753383028,56753.383028,0.04323674,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,44748,640,12760444186740,12760444.18674,coordinated_like,9,9,55203157107,55203.157107,0.00432612,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,33802,640,4482295601033,4482295.601033,weak_behavior_signal,3,3,50324348865,50324.348865,0.01122736,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,155,640,93575476629369,93575476.629369,probable_retained_like,5,5,50240035590,50240.03559,0.00053689,13,14,cf; emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1uvu6q76nvc8p5sepmlv08qrpjw0z9vqf0tyfkn967m28glmy4qj,140712,640,228853933417,228853.933417,trace_only,1,1,49000000000,49000.0,0.21411037,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,1913,,,,coordinated_like,2,2,40195417406,40195.417406,,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep16rxr0dkwfyga23hccvjj0rrdmvhlz7the2vwtrw9a26ygyhzruz,82017,640,115363126342,115363.126342,trace_only,1,1,39787101979,39787.101979,0.34488578,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,1414,640,4582679159038,4582679.159038,weak_behavior_signal,2,2,39108576629,39108.576629,0.008534,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep19rhf5qxl77swh33s62nraagytcrr6kplflxnunztrce02vczr4g,20525,640,1178937583325,1178937.583325,coordinated_like,2,2,38718123000,38718.123,0.03284154,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep_always_no_confidence,27,640,176605061827128,176605061.827128,coordinated_like,40,40,37268519477,37268.519477,0.00021103,11,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,11,640,173282170863023,173282170.863023,high_confidence_retained_like,8,8,35775169846,35775.169846,0.00020646,12,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1rxdd99vu338y659qfg8nmpemdyhlsmaudgv4m4zdz7m5vd9p2hm,9537,640,716212076365,716212.076365,weak_behavior_signal,5,5,34999214479,34999.214479,0.04886711,14,14,iog
