snapshot_utc,trace_schema,latest_pool_id_bech32,ticker_name,latest_drep_id_bech32,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,SECUR,drep_always_abstain,27,7,155972321135,155972.321135
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1cyq3v3v43hu7spwlfxdm6vq9djpsjjueerhlu5qr2rvd57vqk84,,NO_DREP_DELEGATION,27,18,155866604005,155866.604005
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1uhy50u9y76nd6z2xmzt3mta0yc7g3gdssef8lheyyg7zzymgzm8,NUFIA,drep_always_abstain,36,15,155741490939,155741.490939
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,drep_always_abstain,33,5,154310673639,154310.673639
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1jeu74g86ys4fekhykqcww99kdsq3nlym8a6kfw8s8ff3vskad70,KAIZN,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,7,1,151655628323,151655.628323
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1llxh8l0h8g9ghz3nrzh7ndvev4x43vnk72nsemzm795vxqs6dp8,JP4,NO_DREP_DELEGATION,2,2,150769088187,150769.088187
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u,EVE,NO_DREP_DELEGATION,189,111,148413772432,148413.772432
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,NO_DREP_DELEGATION,130,72,147943623481,147943.623481
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1calq8kjzrvp83l80rtvgmulausl99q4tjfkz2lp227vkymd5wgg,ODIN,NO_DREP_DELEGATION,122,65,146122771755,146122.771755
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,BCSH0,NO_DREP_DELEGATION,39,21,145348447157,145348.447157
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,drep_always_abstain,27,16,143375607526,143375.607526
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1rct5guwnp6nk9f4ldn5tr3s42j0nm5rxeayv56lxua5ck47ex39,FIMI,NO_DREP_DELEGATION,57,26,142482654690,142482.65469
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool166dkk9kx5y6ug9tnvh0dnvxhwt2yca3g5pd5jaqa8t39cgyqqlr,VIPER,NO_DREP_DELEGATION,182,106,141871791540,141871.79154
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ntfxj2jgvhzen8e86ed679ctukar3vj538ywyyq8ryld66jj4sx,XRAY2,NO_DREP_DELEGATION,41,23,141583981136,141583.981136
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1supp67ypelmgzuzqqvarc6czgmg3ggwpnrnfr90xpfcqqf8h05t,1PCT,NO_DREP_DELEGATION,34,26,140492587471,140492.587471
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,drep_always_abstain,55,9,140433367506,140433.367506
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,SUNNY,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,7,5,139200262138,139200.262138
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,1PCT7,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,3,1,137618304853,137618.304853
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool136wr0g23dw9daekuyqtgk366vywms6meespgpm3hdguxqczaaug,DAVID,NO_DREP_DELEGATION,86,58,137322046115,137322.046115
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1rxgxstg6t7azlsrk4vuuwp0jgl9e776dg86zqzaa0qt6vz43n9r,,NO_DREP_DELEGATION,2,1,136837516405,136837.516405
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1uthdnav2zc2hxpg2hyeyy545lnxtl8lqdcdqxjm0j8t5srmyvzj,ADAST,NO_DREP_DELEGATION,10,8,134025706015,134025.706015
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1kvd03hq8kp0hnxq9lq598a5amrvauj9m386rwx7ydawvjdskwnh,CAKE,NO_DREP_DELEGATION,9,7,133389054019,133389.054019
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,MANT,NO_DREP_DELEGATION,29,20,131794611503,131794.611503
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool13qdkwy5y88ncr5qpjrh8hgtf94d0zw4wuhgezjg3hvlyyrh37c7,SECUR,drep_always_abstain,16,7,130046786240,130046.78624
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,70,1,127381480940,127381.48094
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1jdhjfcu34lq88rypdtslzwyf27uh0h3apcr9mjd68zhc69r29fy,NUFI5,NO_DREP_DELEGATION,111,80,126384528748,126384.528748
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2,EMUR5,NO_DREP_DELEGATION,68,29,125941991089,125941.991089
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,BTCAO,NO_DREP_DELEGATION,350,234,125371391283,125371.391283
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1hntu7agmt8u5j9c20ejen7dvq0jfkvkpnul3mrdd8tppqvwfvt2,BLOOM,drep_always_abstain,8,7,125322974838,125322.974838
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ea568m9q882n0tx5d4vxff2dmz2n7rq5h62hx5ystq625m4tcfu,NUFI6,NO_DREP_DELEGATION,55,45,124329080736,124329.080736
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool13annzt9hjfc822f0ejvxjf7fsmxd6cc28whpk5kagec6ggfmm7u,STSH3,drep_always_abstain,27,27,124122827889,124122.827889
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,CH1,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,5,2,123581291967,123581.291967
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1w2duw0lk7lxjpfqjguxvtp0znhaqf8l2yvzcfd72l8fuk0h77gy,PSP,NO_DREP_DELEGATION,2,1,122405049186,122405.049186
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,drep_always_abstain,26,14,121591624204,121591.624204
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1p9sjhjx0v3k76wvgdqu7jcks2ra48wqlhc6g0mkewd25k3zcymy,WA2,drep_always_abstain,3,1,121353321640,121353.32164
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1egunxfppwtglyu3t864uq76y0zu05s7pjda3e9g95nwlwc5ye2h,AUSST,NO_DREP_DELEGATION,17,8,120863900505,120863.900505
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,SNAKE,NO_DREP_DELEGATION,23,10,120531586524,120531.586524
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1gppqnqfguctp6gu0q8l5wjhye0ny28yzfx93hkr384cfsezru0f,CAPEX,NO_DREP_DELEGATION,95,63,120177394495,120177.394495
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool149d5lzg7m6susau4f4yfdztgkty34qrcdpvd3ygsetmljgxxf8g,TERA3,NO_DREP_DELEGATION,20,8,119345103876,119345.103876
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1cc76kmtcpf6vht32ya5ke9er74dnpy4jh5qpy4klqwp87ygdsu6,,NO_DREP_DELEGATION,133,72,119328557876,119328.557876
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,drep_always_abstain,59,16,118893447684,118893.447684
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1t6n7rysk6wzm9wqxda6zxpzmm3j6256fs3mp06dc26n6503hhj4,DAVE,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,7,3,118313241750,118313.24175
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool15ccmgcc4k9t8auxw9v4dfjmrl2kqnuevawn8z6n7xv09utw9hh3,4ADA,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,5,3,117762441211,117762.441211
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool13846y7q7tng3endxhet9qdcz5w0fjs09ytcye4dm5g54wmyqeqr,BSP,drep_always_abstain,11,6,117655886738,117655.886738
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool15ccmgcc4k9t8auxw9v4dfjmrl2kqnuevawn8z6n7xv09utw9hh3,4ADA,drep_always_abstain,11,7,117220002548,117220.002548
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ppznyu6qrvlw9uuqa3tslryjd40nh56jyvmaqw6kdf4kzq3y8kh,DIGI3,NO_DREP_DELEGATION,85,34,117194817749,117194.817749
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool14mma26pz4v888lrxtlzm22vjd68h5hd89kj7jaag6knx7x3k5ed,TRT,drep_always_abstain,1,1,116833274186,116833.274186
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1zj4h7kc6v53q9r8x3fwzfuayf2frwme8u5k86gu0uzeeuvqxgul,,NO_DREP_DELEGATION,67,34,116334340478,116334.340478
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool19ht066hngsjfnv3mfsc8u9fgzl4w5qcrmh8l6zppwph6s2t7jn4,4GOOD,NO_DREP_DELEGATION,29,12,115569577731,115569.577731
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool147en6w8f9cplnn5x7qt4ese7fpacmmcwuffrtu0yqxpaz4agppr,STI2,drep_always_abstain,3,2,115509045010,115509.04501
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1g5gmej3cj67td4pmvmacnls8nuq0gjld2pwfeg3jwpxujdx6lmu,,NO_DREP_DELEGATION,38,25,114028474544,114028.474544
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,OCTAS,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,9,5,112827149075,112827.149075
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool13mas2wthxs28zftxskcsd8t87jk2w9ntc0u5uflt45sh7lcvs8h,EMUR3,NO_DREP_DELEGATION,60,23,112402496579,112402.496579
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1wwzctexlp70mj00vv65mlhwhwresn58s9x7jl4tswvkg77eu7n7,UKADA,NO_DREP_DELEGATION,65,44,111929257561,111929.257561
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,NO_DREP_DELEGATION,9,6,111483447864,111483.447864
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1ua0lx5ap5tj9f5l7tyjflp766ca5yu93djh5hqvm4e0kjgw5k7v,1PCT6,NO_DREP_DELEGATION,29,23,110680945514,110680.945514
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,pool1dj4l8qma9zzqqzhsawdkvxrs7qyqyv70kn56ywdqqazscvcqvva,K9K,NO_DREP_DELEGATION,19,5,109902063768,109902.063768
