snapshot_utc,trace_schema,root_seed_id,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,current_trace_rows,current_utxos,current_stake_credentials,current_lovelace,current_ada,min_depth,max_depth
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,640,595013768459950,595013768.45995,high_confidence_retained_like,56,56,16,60952871817,60952.871817,10,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,377,640,89601583317696,89601583.317696,coordinated_like,14,14,4,60856286537,60856.286537,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,751,640,242678026974016,242678026.974016,high_confidence_retained_like,15,15,4,60772692645,60772.692645,11,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,640,134663122023465,134663122.023465,weak_behavior_signal,12,12,11,59580513671,59580.513671,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,640,134663122023465,134663122.023465,coordinated_like,9,9,2,57511680699,57511.680699,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,20808,640,134663122023465,134663122.023465,coordinated_like,9,9,2,57511680699,57511.680699,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep_always_no_confidence,27,640,176605061827128,176605061.827128,high_confidence_retained_like,10,10,1,56945429774,56945.429774,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1z4vr6q5kxpr7kmm667zgnpm7p2yps56zp3mqhjynt7sjyf4p65k,1846,640,1312619482146,1312619.482146,weak_behavior_signal,13,13,5,56753383028,56753.383028,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,640,595013768459950,595013768.45995,high_confidence_retained_like,24,24,16,56000022121,56000.022121,13,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,44748,640,12760444186740,12760444.18674,coordinated_like,9,9,1,55203157107,55203.157107,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1lw0n54ypc0pcqeptzwycpp0nk3c3wh62gnss79txgcdjgds4tvl,6771,640,5921612409391,5921612.409391,weak_behavior_signal,8,8,6,51308584949,51308.584949,12,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,33802,640,4482295601033,4482295.601033,weak_behavior_signal,3,3,2,50324348865,50324.348865,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep1uvu6q76nvc8p5sepmlv08qrpjw0z9vqf0tyfkn967m28glmy4qj,140712,640,228853933417,228853.933417,trace_only,1,1,1,49000000000,49000.0,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,612,640,222597864038928,222597864.038928,coordinated_like,2,2,2,44127270217,44127.270217,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,emurgo,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,377,640,89601583317696,89601583.317696,probable_retained_like,1,1,1,40646908200,40646.9082,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,1913,,,,coordinated_like,2,2,2,40195417406,40195.417406,14,14
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,iog,drep16rxr0dkwfyga23hccvjj0rrdmvhlz7the2vwtrw9a26ygyhzruz,82017,640,115363126342,115363.126342,trace_only,1,1,1,39787101979,39787.101979,14,14
