query_timestamp_utc,drep_distribution_epoch,rank_overall,profile_class,drep_id_bech32,root_seed_id,ever_trace_stake_credentials,latest_still_this_drep,latest_moved_away,latest_unknown,latest_still_ratio,current_lovelace_latest_still,current_ada_latest_still,current_lovelace_moved_away,current_ada_moved_away
2026-05-21 20:17:02.929505,632,4,registered,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,fourth_entry_781m,0,0,0,0,,0,0.000000,0,0.000000
2026-05-21 20:17:02.929505,632,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,fourth_entry_781m,0,0,0,0,,0,0.000000,0,0.000000
2026-05-21 20:17:02.929505,632,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,fourth_entry_781m,26,20,6,0,0.7692307692307692307692307692,584782119016,584782.119016,601623441697,601623.441697
2026-05-21 20:17:02.929505,632,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,fourth_entry_781m,21,21,0,0,1,881495278822,881495.278822,0,0.000000
2026-05-21 20:17:02.929505,632,8,system,drep_always_no_confidence,fourth_entry_781m,37,32,5,0,0.8648648648648648648648648649,772089669411,772089.669411,2211684531781,2211684.531781
2026-05-21 20:17:02.929505,632,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,fourth_entry_781m,13,13,0,0,1,1910074454064,1910074.454064,0,0.000000
2026-05-21 20:17:02.929505,632,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,fourth_entry_781m,1,1,0,0,1,16191837501,16191.837501,0,0.000000
2026-05-21 20:17:02.929505,632,1,system,drep_always_abstain,iog,1218,1157,61,0,0.9499178981937602627257799672,668242722998892,668242722.998892,13552614070617,13552614.070617
2026-05-21 20:17:02.929505,632,2,registered,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,iog,129,128,1,0,0.9922480620155038759689922481,3771475671820,3771475.671820,3558887880,3558.887880
2026-05-21 20:17:02.929505,632,3,registered,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,iog,9,8,1,0,0.8888888888888888888888888889,335238615620,335238.615620,300000000000,300000.000000
2026-05-21 20:17:02.929505,632,4,registered,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,iog,1,1,0,0,1,885293943,885.293943,0,0.000000
2026-05-21 20:17:02.929505,632,5,registered,drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,iog,3,3,0,0,1,3366951299,3366.951299,0,0.000000
2026-05-21 20:17:02.929505,632,6,registered,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,iog,48,42,6,0,0.875,6334304021756,6334304.021756,210343265469,210343.265469
2026-05-21 20:17:02.929505,632,7,registered,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,iog,23,22,1,0,0.9565217391304347826086956522,472820521412,472820.521412,10000000,10.000000
2026-05-21 20:17:02.929505,632,8,system,drep_always_no_confidence,iog,69,61,8,0,0.8840579710144927536231884058,723978998668,723978.998668,1092210355307,1092210.355307
2026-05-21 20:17:02.929505,632,9,registered,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,iog,19,17,2,0,0.8947368421052631578947368421,1223444685609,1223444.685609,315858000000,315858.000000
2026-05-21 20:17:02.929505,632,10,registered,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,iog,3,3,0,0,1,13320515874,13320.515874,0,0.000000
