asn,as_name,country,pools,stake_ada,delegators,pools_single_asn,stake_single_asn,delegators_single_asn
44034,"hi3g - Hi3G Access AB, SE",SE,1,711330,109,0,0,0
44486,"SYNLINQ - Oliver Horscht is trading as _SYNLINQ_, DE",DE,1,98342,7,0,0,0
44512,"KONVERTO-AS - KONVERTO SPA, IT",IT,1,1225882,147,0,0,0
46637,"ROCK-FALLS-FIBERNET - City of Rock Falls, US",US,1,26313339,426,0,0,0
47377,"Orange_Belgium_SA - Orange Belgium SA, BE",BE,1,51110008,793,0,0,0
4764,"WIDEBAND-AS-AP - Aussie Broadband, AU",AU,1,76021282,2579,0,0,0
4766,"KIXS-AS-KR-KR - Korea Telecom, KR",KR,1,2028792,398,0,0,0
48943,"KAPPERNET - KAPPER NETWORK-COMMUNICATIONS GmbH, AT",AT,2,129608860,7576,0,0,0
51790,"SIEL - SIEL, d.o.o., SI",SI,1,302459,8,0,0,0
53850,"GORILLASERVERS - GorillaServers, Inc., US",US,1,98342,7,0,0,0
5408,"GR-NET - National Infrastructures for Research and Technology S.A., GR",GR,1,872279,83,0,0,0
5432,"PROXIMUS-ISP-AS - Proximus NV, BE",BE,2,55042359,936,0,0,0
55053,"RACK-AND-DATA - 2267921 ONTARIO LTD, CA",CA,1,70924524,1705,0,0,0
56186,"DIGINET-NZ - Digital Island Ltd, NZ",NZ,3,39525024,8207,0,0,0
56655,"GIGAHOST - Gigahost AS, NO",NO,1,70473164,985,0,0,0
56990,"SYSCOMM - Syscomm Limited, GB",GB,1,453904,150,0,0,0
57269,"DIGI-ES - DIGI SPAIN TELECOM S.A, ES",ES,1,123256,96,0,0,0
58212,"DATAFOREST - dataforest GmbH, DE",DE,1,3972484,344,0,0,0
63473,"HOSTHATCH - HostHatch, LLC, US",IN,1,3306382,605,0,0,0
64022,"KAMATERAINC-AS-AP - Kamatera, Inc., HK",US,1,101624,13,0,0,0
7671,"MCNET - NTT SmartConnect Corporation, JP",JP,1,2070292,26,0,0,0
8151,"AS8151 - UNINET, MX",MX,1,203550,158,0,0,0
8434,"TELENOR-SE - Telenor Sverige AB, SE",SE,5,332729430,17223,0,0,0
8473,"BAHNHOF - Bahnhof AB, SE",SE,5,332729430,17223,0,0,0
8562,"LICPLUS-AS - A1 Telekom Austria AG, AT",AT,1,995788,107,0,0,0
9269,"HKBN-AS-AP - Hong Kong Broadband Network Ltd., HK",HK,1,264115,53,0,0,0
9318,"SKB-AS-KR - SK Broadband Co Ltd, KR",KR,1,23992236,3406,0,0,0
9370,"SAKURA-B - SAKURA Internet Inc., JP",JP,1,2308442,2,0,0,0
9534,"MAXIS-AS1-AP - Binariang Berhad, MY",MY,1,307535,37,0,0,0
