seed_id,label,depth,tx_hash,tx_id,tx_out_index,value_lovelace,address,stake_address,epoch_no,block_no,block_time_utc,path
emurgo,EMURGO,2,743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b,38129,1,1000000000000000,DdzFFzCqrhsu3iF6JfUTaapdWq2mXVRFukkS28WFYVDEqkgaaYttH8cT32credS99L5GaoUsEquqEPNH7ae88eKuDL6XsK5ZL56jkfLi,,4,104999,2017-10-18 05:14:11,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0 > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b#1
emurgo,EMURGO,3,45862b04d0ff4b48923eeb2d185e4ecc9864bc80380fc2e646d0b0b25083a3e8,44064,0,2753653751120260,DdzFFzCqrhshYnufuPUenZ9mmzxgbh3HJdepgCzNp2NHAfDDLJNF19ak7ec7xsKaKqfcCCkXWWjewe3WMLmQTQQigap7ssnE323MBCBW,,7,156979,2017-10-30 06:01:31,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#0 > 45862b04d0ff4b48923eeb2d185e4ecc9864bc80380fc2e646d0b0b25083a3e8#0
emurgo,EMURGO,3,45862b04d0ff4b48923eeb2d185e4ecc9864bc80380fc2e646d0b0b25083a3e8,44064,1,93337453000000,DdzFFzCqrhsn9Kat7RbPZfT6R5u9SXiHJe71eQP9r9LpZ1Bz66tX7yc6wLCbMDiVCHmmUJQNzGbFYCk1iwsw43qDq4YNLarTJ2nS2EY8,,7,156979,2017-10-30 06:01:31,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#0 > 45862b04d0ff4b48923eeb2d185e4ecc9864bc80380fc2e646d0b0b25083a3e8#1
emurgo,EMURGO,3,71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78,44061,0,2846991204291506,DdzFFzCqrhsmBiB2rSvBzzPAmPjUtvDNg3r3vEey711wqsJZKrUnNvEjnmdJFs8ZeHAcPSdxp4PLtLnY7QDH1Ppsk77di6YNhnppvx6r,,7,156971,2017-10-30 05:58:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0 > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#0
emurgo,EMURGO,3,71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78,44061,1,8555933000000,DdzFFzCqrhsfyvaGxgsiD4cPZNpo226gw2Qr6kspKSYjSjpLmSgwbFatsnyzLZqHVgmugGPtQya9CwBRwwhRChHqsNaYtKq83VJ6RZbj,,7,156971,2017-10-30 05:58:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0 > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#1
emurgo,EMURGO,3,974dde6c83078ed088fb92eb40cd3e145715db5c85f1dd49941682fb6b97d540,56690,0,100555977546413,DdzFFzCqrhsfWWg1Kbv7kia5UEt7JHRxzJqLzZdZ6F28PtstM63LcPnv8TF1ma8Y6MuZfLs5ieQoVyqtk3j1XqzkaDVH6nUhfGaizm36,,12,273751,2017-11-26 06:48:11,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#1 > 974dde6c83078ed088fb92eb40cd3e145715db5c85f1dd49941682fb6b97d540#0
emurgo,EMURGO,3,974dde6c83078ed088fb92eb40cd3e145715db5c85f1dd49941682fb6b97d540,56690,1,4277966000000,DdzFFzCqrhtAUyqBQ4cyw2wQdXMkiuBGF38isKDoKBMQesKa6sxkGALA4vZhPQxLd8GZftcQkkENS6rui9hJKyivc5E8pVBCF5mYBEVk,,12,273751,2017-11-26 06:48:11,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#1 > 71a35dc3c7083eb57bde93efd2abc98fb592175935c0c5e0069e496d349fcf78#1 > 974dde6c83078ed088fb92eb40cd3e145715db5c85f1dd49941682fb6b97d540#1
emurgo,EMURGO,3,c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76,38131,0,131,DdzFFzCqrhsfeFUGoiMC3EBXYhY9ZaG9DxaFfJoR9DpD4R2bYZ4hDTDZUEHfqbyWkdpFS7kgKioAZBjuSb3wM9g5C6uDjT4CQqyrUuUe,,4,105004,2017-10-18 05:15:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0 > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b#0 > c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76#0
emurgo,EMURGO,3,c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76,38131,1,1855547037478660,DdzFFzCqrhsu3iF6JfUTaapdWq2mXVRFukkS28WFYVDEqkgaaYttH8cT32credS99L5GaoUsEquqEPNH7ae88eKuDL6XsK5ZL56jkfLi,,4,105004,2017-10-18 05:15:51,242608fc18552a4ac83adabcef7155f3b909e83d469ce89735db8f11d3637e38#0 > 7eb47f8f9ffaaf98f30d8028c7e1d13a8efeebffb65d1f2d4be37ee523ceb9bf#0 > 743fd0510c4527b4031504b9f3c1703606bfd5e63bed4d1bf857ceeefc4bac1b#0 > c8596b9cd81f734f8129604ff86f23bd4a910465acb84ad9e9d1ac223ccb4a76#1
fourth_entry_781m,"781,381,495 ADA fourth entry",0,5ec95a53fa3bb7dc56864bb6e75f369f00aa20e8d8cdc3b66b2fb88ec1b225ef,14528,0,781381495000000,DdzFFzCqrhspiThx6UaeJASmHTbwbXp2FtdCkF9AU9QXPF9D8sUC7Fqrv9bmYkxradBbqMrSxukTTsqCPNPwRh5PHazdiwWTuJYVMMaf,,0,19514,2017-09-28 10:09:11,5ec95a53fa3bb7dc56864bb6e75f369f00aa20e8d8cdc3b66b2fb88ec1b225ef#0
