stake_address,total_output_rows,current_utxos,current_ada,first_received_time,last_received_time,last_outgoing_time,stake_key_registered,pool_delegation_certs,current_pool_bech32,latest_pool_cert_time,latest_pool_active_epoch,drep_delegation_certs,current_drep,latest_drep_cert_time,rewards_earned_ada,last_reward_spendable_epoch,withdrawal_count,rewards_withdrawn_ada,last_withdrawal_time,rewards_unclaimed_ada
stake1uxzrxhldtl5ad5g5au27mze4e3mjud9s2g9cc8dlqyjyh8qmsxr5p,31,25,35000000.000000,2022-01-28 17:24:46,2023-10-08 12:01:04,2023-02-07 21:30:24,t,1,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,2022-03-21 18:51:05,329,1,drep_always_abstain,2025-02-09 21:23:28,4025414.543216,641,307,4015155.019915,2026-06-29 00:37:03,10259.523301
stake1uy0hctwkd0kqxry2xk95gvkednek4n0zvfy4cpxwhh875xqkdsp36,42,4,35000000.000000,2022-06-10 00:02:27,2023-09-28 08:42:45,2023-03-06 17:30:44,t,1,pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,2022-03-25 21:40:48,330,1,drep_always_abstain,2025-02-09 21:21:54,3318636.118536,641,291,3308260.208199,2026-06-29 01:01:18,10375.910337
stake1uy3t60lcq7sqq3mnahr4kxcf75j2770uv22kj6xr8pslatgfg5rk5,85,4,35000000.000000,2022-05-01 01:31:14,2023-09-28 02:37:58,2023-06-22 14:10:38,t,1,pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,2022-03-25 21:35:28,330,1,drep_always_abstain,2025-02-09 19:54:11,3634193.873756,641,299,3620541.066238,2026-06-29 00:19:21,13652.807518
stake1uy4y62nqezk7ckmslyuw532nmm60tz68jq7qnj2f2hqfyzq0n39cn,17,17,35000000.000000,2022-10-17 19:19:31,2023-09-28 08:44:11,,t,1,pool1fxra32qureulvqrhrdpnrl5yechhqreg2khrghv3tkl4z66t0rm,2022-10-11 18:55:14,370,1,drep_always_abstain,2025-02-09 21:54:46,2897255.499921,641,265,2887587.117393,2026-06-29 00:18:10,9668.382528
stake1uy6ntuel4dghfatzg6f4tnyspe9tyk9swunrl4jnze2r9rg73pvlj,39,34,35000000.000000,2022-06-04 00:02:43,2026-06-20 12:01:28,2026-06-19 20:02:02,t,1,pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,2022-03-25 21:40:48,330,1,drep_always_abstain,2025-02-09 21:50:05,3779293.309313,641,292,3768917.398976,2026-06-29 00:08:23,10375.910337
stake1uyclu4dwn93kvnn786x35efaj5nnfa05dd6w92fjgn6nwxcdg7hpg,32,16,35000000.000000,2022-01-31 11:41:47,2023-09-28 08:43:50,2023-09-14 15:30:28,t,1,pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,2022-03-21 19:49:44,329,1,drep_always_abstain,2025-02-09 20:52:57,3946515.449134,641,307,3937684.118862,2026-06-29 01:04:05,8831.330272
stake1uyct93wdmd8c074tnuqkafm5060m57pw0t6ywpyr6cc0raqddd5ql,3,2,35000000.000000,2023-06-20 19:45:33,2023-09-28 08:43:44,2023-06-22 14:10:38,t,1,pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,2022-11-01 18:21:49,374,1,drep_always_abstain,2025-02-09 21:19:23,2503299.917317,641,215,2492330.043291,2026-06-29 00:53:12,10969.874026
stake1uyk4dvkyx9avg2wrtqk9qylyuwkfe34tqxzawc54cn66j5qeejr6r,25,24,35000000.000000,2022-11-08 12:00:20,2023-10-04 12:01:33,2023-03-20 17:40:05,t,1,pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,2022-10-31 21:12:12,374,1,drep_always_abstain,2025-02-09 21:51:33,3323750.973347,641,260,3314062.610136,2026-06-29 00:57:11,9688.363211
stake1uylhqtxx5ng4tawhcs9n7jgls0mm3q7ely5r565mdz2upqqw8f05q,11,8,35000000.000000,2022-01-28 17:07:45,2023-10-04 12:01:33,2023-03-20 18:10:13,t,1,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,2022-03-21 18:15:15,329,1,drep_always_abstain,2025-02-09 21:53:57,4071526.470097,641,307,4061270.899903,2026-06-29 00:38:36,10255.570194
stake1uym6v8wuws4g8sk336k5h7dwujl9llsfpfgt6hp42sj332safd758,26,8,35000000.000000,2022-01-27 15:40:33,2025-02-11 12:01:23,2025-02-10 12:10:19,t,1,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,2022-03-21 17:43:06,329,1,drep_always_abstain,2025-02-09 21:32:25,3755039.702218,641,309,3745926.803778,2026-06-29 00:30:49,9112.898440
