endpoint,endpoint_kind,pools,stake_ada,delegators,tickers,pool_bech32s
dns:cardano-relay.kysenpool.io,dns,2,5975588,2075,KYSN KYSN2,pool1fyp482ntshhm9zfz4nv7pmsaeakscf5mnuzcxuvtqf6t56fc7l0 pool1d76p7zfn2ydq577z4wsvmnl2lx4cxa3s5vplfuhvr8qfw8hd05j
dns:219.88.235.176,dns,2,5926967,760,GURU CHEAP,pool1j6zqawj6f58lp4p00t26eqe58gxx4pa3cudlzpkv23y92nlxjzd pool1uu35qfkmjyxwpm3pgptfgr0qga9j2fzkc0tsjplcx840x295xj9
ipv4:162.156.186.249,ipv4,2,4128155,1446,PALM1 CHEF,pool1r3ax7pd3cgad5kttench60ttr23kvfpx3vzvd6c3azppgw7q93t pool1dqhaw0h2f4ehpdhh57quszcj22qhkglhg6yvaf39w3clxdl2kpy
dns:relay01.cardano.amsterdam,dns,2,3444095,86,AMSNL MGATE,pool1uy2z02pn4lczk7p2plvnkzrmltxmqs2t04d9ghx5t0vw6e4t0qn pool1xznpgmkfkf4f5wzks85z778v2s94vhmjxc60m8tphvypj6jp2w2
dns:relay02.cardano.amsterdam,dns,2,3444095,86,AMSNL MGATE,pool1uy2z02pn4lczk7p2plvnkzrmltxmqs2t04d9ghx5t0vw6e4t0qn pool1xznpgmkfkf4f5wzks85z778v2s94vhmjxc60m8tphvypj6jp2w2
ipv4:52.4.84.76,ipv4,2,3372110,590,CSWP1 CSWP2,pool165ljt7xrrpceutz5ppe96suuw0jcnrvhg0f5vu60df0r5mt0x0c pool1tdtzmmmak0tkte2j2hr223dfnqpdy85ypd66tddwywpeuknn2pn
dns:relay.no-tax.biz,dns,2,3322291,22,TAX LILIE,pool1jayej3rwf5ynfmmu7583x3w2j73dcedtflgnazdezfn3kl6062x pool1qeqylk3pnenvt3j4mah2dafcnd3h8uc3fqhvfzrxlxf3xuvdvvp
ipv4:3.234.66.234,ipv4,2,2977536,25,BNP BNP,pool1nll5ghr8cdkl6ppnxpuk6c6vrg9d5kq3tp8d6xjdds5pct6pxj9 pool1me68mzk9kephj0yqya6xu9jefjvtg0dvmly3m9sy67cezrexalx
dns:birdyrelaystakepool.ddns.net,dns,2,2538034,267,RELAY ECHO,pool1dswpls43u0s6cpt0dh2d6npm0rnxh5qcjm9xax9y6fp3uq880xm pool1eucxv3gn8lk93fpud5d5n5e87nr0j2udvnjnm99q8eqrucmj25d
dns:relaystakepool.ddns.net,dns,2,2538034,267,RELAY ECHO,pool1dswpls43u0s6cpt0dh2d6npm0rnxh5qcjm9xax9y6fp3uq880xm pool1eucxv3gn8lk93fpud5d5n5e87nr0j2udvnjnm99q8eqrucmj25d
