flow_level,leaf_utxos,qty_night,pct_of_supply
315,17,22420018.539736,0.0934
316,16,323337.326297,0.0013
317,18,10320554.015802,0.043
318,17,131362.768728,0.0005
319,14,66998.142034,0.0003
320,17,340261.770233,0.0014
321,15,214779.572821,0.0009
322,14,18394142.64872,0.0766
323,12,41223.328202,0.0002
324,12,10211465.140355,0.0425
325,9,245323.490063,0.001
326,9,282469.687196,0.0012
327,10,2502.030012,0.0
328,12,5431.46804,0.0
329,9,58705.808841,0.0002
330,10,18096739.909117,0.0754
331,9,4403.325664,0.0
332,7,2848.703127,0.0
333,10,7130.440646,0.0
334,9,15843071.487641,0.066
335,6,3438.562211,0.0
336,8,7873.818831,0.0
337,6,11479873.040636,0.0478
338,4,481.725104,0.0
339,4,506.325346,0.0
340,3,360.012657,0.0
341,2,448.291542,0.0
342,4,423.914613,0.0
343,2,233.246792,0.0
344,7,700796.190847,0.0029
345,6,5318.091262,0.0
346,3,1035.328893,0.0
347,7,629.168127,0.0
348,4,952.405223,0.0
349,5,211005.034826,0.0009
350,4,714.928021,0.0
351,1,5.314832,0.0
352,3,182.942303,0.0
353,2,51.825214,0.0
354,4,3887.050661,0.0
355,3,389.242832,0.0
356,2,233.045085,0.0
357,4,225.966881,0.0
358,1,21.133797,0.0
359,2,995.33213,0.0
360,4,399.268045,0.0
361,3,320.131498,0.0
362,3,1726.350014,0.0
363,4,383.785382,0.0
364,2,214.831387,0.0
365,3,1630.165058,0.0
366,3,1489.964786,0.0
367,3,199.818477,0.0
368,3,587.804821,0.0
369,3,157.964165,0.0
370,2,650.040154,0.0
371,4,1398.453383,0.0
372,3,456.127449,0.0
373,5,493.010883,0.0
374,3,1590.80558,0.0
375,4,82267.378255,0.0003
376,4,179.999288,0.0
377,1,97.044383,0.0
378,2,6327.974465,0.0
379,5,476.501089,0.0
380,3,687.879311,0.0
381,4,233.852018,0.0
382,2,122.735507,0.0
383,1,140.603223,0.0
384,3,155.498908,0.0
385,1,113.336315,0.0
386,2,189.57686,0.0
387,4,705.819408,0.0
388,5,1266.352176,0.0
389,2,417.860746,0.0
390,2,531.622702,0.0
391,4,855.228995,0.0
392,6,6209.924037,0.0
393,4,780.554806,0.0
394,4,484.987556,0.0
395,4,109.219968,0.0
396,2,53.244823,0.0
397,3,169.320573,0.0
398,3,4388.327844,0.0
399,3,1396.311933,0.0
400,3,5686.934884,0.0
401,2,124.874853,0.0
402,3,3152.767811,0.0
403,3,545.574033,0.0
404,3,289.42025,0.0
405,4,109984.393368,0.0005
406,4,253.151985,0.0
407,3,536.512015,0.0
408,4,91.398581,0.0
409,2,66.626232,0.0
410,2,128.851868,0.0
411,2,150.242837,0.0
412,4,186.648099,0.0
413,3,3536.320894,0.0
414,2,116.436898,0.0
415,3,158.063765,0.0
416,2,503.265436,0.0
417,4,151.824366,0.0
418,2,1031798.808402,0.0043
419,3,275.78979,0.0
420,4,341.849903,0.0
421,2,158.255772,0.0
422,6,28417.434195,0.0001
423,3,29837.515273,0.0001
424,2,4890.995856,0.0
425,4,9878.116053,0.0
426,4,1205.113327,0.0
427,4,2261.616757,0.0
428,3,36.797049,0.0
429,2,53.525219,0.0
430,3,428.874556,0.0
431,2,162.941333,0.0
432,2,20.711162,0.0
433,4,727.839567,0.0
434,6,18001.030219,0.0001
435,4,4806.525983,0.0
436,4,55.302949,0.0
437,4,697.892782,0.0
438,3,123135.900182,0.0005
439,3,134434.258516,0.0006
440,4,108188.927209,0.0005
441,3,240.186127,0.0
442,3,101506.513464,0.0004
443,2,273.705223,0.0
444,3,3012.310617,0.0
445,2,166.351549,0.0
446,2,217.445683,0.0
447,3,429.306453,0.0
448,2,221.067239,0.0
449,3,293.877161,0.0
450,2,190.233841,0.0
451,3,330.743551,0.0
452,2,3076.114624,0.0
453,3,2356.428689,0.0
454,2,377.708989,0.0
455,3,200.93416,0.0
456,2,410.153946,0.0
457,1,152.812701,0.0
458,3,191.665168,0.0
459,2,245.387484,0.0
460,5,50621.063117,0.0002
461,2,226.049258,0.0
462,4,906.175777,0.0
463,1,135.966957,0.0
464,4,915.171071,0.0
465,1,133.921763,0.0
466,2,712.681896,0.0
467,2,214.658707,0.0
468,3,452.057088,0.0
469,3,959.514016,0.0
470,2,128.810264,0.0
471,4,401.187869,0.0
472,3,144.05493,0.0
473,2,808.390611,0.0
474,3,252.68283,0.0
475,2,144.070687,0.0
476,3,2027.097402,0.0
477,3,10387.482116,0.0
478,2,122.885309,0.0
479,2,53.270187,0.0
480,1,112.20873,0.0
481,2,103.044464,0.0
482,5,282.244413,0.0
483,3,823.260171,0.0
484,1,90.840027,0.0
485,2,105.51621,0.0
486,2,43.977786,0.0
487,2,82.239764,0.0
488,2,177.696284,0.0
489,3,1009.423534,0.0
490,1,76.127931,0.0
491,4,808.621256,0.0
492,2,52.021003,0.0
493,2,24.293884,0.0
494,3,128.28049,0.0
495,2,120.943043,0.0
496,2,558.354348,0.0
497,3,124.310232,0.0
498,2,118.964552,0.0
499,2,74.62487,0.0
500,2,71.976937,0.0
501,2,997.068478,0.0
502,2,39.042993,0.0
503,3,1723.563274,0.0
504,1,89.340492,0.0
505,2,88.979454,0.0
506,2,3928.037395,0.0
507,3,37841.86146,0.0002
508,1,709.62609,0.0
509,2,1133.232809,0.0
510,3,48041.716447,0.0002
511,1,9954.845919,0.0
512,2,308.477889,0.0
513,1,19.428969,0.0
514,1,47.945408,0.0
515,2,302.740416,0.0
516,2,34850.34446,0.0001
517,2,1559.153181,0.0
518,2,1128.159162,0.0
519,2,121.592901,0.0
520,3,1064.707829,0.0
523,1,390.57176,0.0
524,1,1223.272885,0.0
525,1,8.20507,0.0
527,1,128.748383,0.0
528,2,36.159121,0.0
529,1,14.411942,0.0
530,1,2511.363811,0.0
531,1,311.799456,0.0
532,3,3035.037091,0.0
533,1,3231.711296,0.0
534,4,116.640395,0.0
535,1,92.232616,0.0
536,3,751.462546,0.0
537,1,42.194551,0.0
538,2,520.028904,0.0
539,2,99.755295,0.0
540,2,78.998454,0.0
541,4,9.916152,0.0
542,1,171.326053,0.0
543,2,17903.682919,0.0001
544,2,24244.565971,0.0001
545,1,316.67844,0.0
546,2,582.199829,0.0
547,1,479.729539,0.0
548,4,536567.524127,0.0022
549,2,372.251426,0.0
550,1,0.201138,0.0
554,1,0.419443,0.0
556,1,7.580065,0.0
561,1,77.712119,0.0
563,1,28.860365,0.0
564,1,5.855906,0.0
567,1,8.30542,0.0
568,1,183.864104,0.0
569,1,0.181079,0.0
571,3,120186.179034,0.0005
572,2,40655.572666,0.0002
573,1,2.605708,0.0
575,2,2.419176,0.0
577,1,0.533947,0.0
578,2,981.552629,0.0
583,1,3.700918,0.0
586,1,3360.847314,0.0
588,2,208.302279,0.0
589,1,70.005008,0.0
590,1,52985.0,0.0002
595,1,21.896784,0.0
600,1,0.131615,0.0
605,1,0.515788,0.0
607,1,1.256305,0.0
608,2,1061.050954,0.0
609,1,4.111584,0.0
611,1,0.088395,0.0
612,1,20.220016,0.0
614,1,7.257904,0.0
615,1,77.436712,0.0
618,1,30.500361,0.0
