snapshot_utc,trace_schema,cert_type,root_combo,epoch_no,cert_count,distinct_stake_addresses,distinct_targets
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,534,19,17,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,535,11,8,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,536,6,6,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,537,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,538,6,6,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,539,13,11,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,540,9,9,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,541,13,13,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,542,4,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,543,13,13,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,544,11,11,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,545,9,4,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,546,4,4,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,547,13,12,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,549,5,4,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,550,10,8,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,551,4,3,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,552,11,10,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,553,5,5,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,554,10,9,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,555,3,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,556,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,557,9,8,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,558,7,7,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,559,4,4,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,560,4,4,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,561,7,7,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,562,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,563,5,4,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,564,9,8,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,566,5,5,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,567,11,7,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,568,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,569,5,4,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,570,5,5,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,571,9,9,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,572,4,4,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,573,9,6,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,574,10,9,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,575,7,7,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,576,15,14,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,577,10,10,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,578,8,8,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,579,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,580,5,5,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,581,7,7,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,582,16,8,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,583,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,585,3,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,586,5,5,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,587,8,7,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,588,8,7,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,589,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,590,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,591,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,592,4,4,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,593,5,4,5
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,594,4,3,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,595,4,3,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,596,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,597,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,598,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,599,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,600,6,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,601,5,5,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,603,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,604,5,5,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,605,6,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,606,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,607,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,608,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,609,4,4,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,610,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,611,5,5,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,612,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,613,3,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,615,4,4,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,616,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,617,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,618,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,619,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,620,4,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,621,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,623,2,2,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,624,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,625,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,626,2,1,2
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,627,3,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,628,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,629,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,630,1,1,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,632,3,3,3
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,633,2,2,1
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo,635,5,5,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,507,32,32,19
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,508,34,32,17
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,509,20,20,11
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,510,14,13,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,511,12,12,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,512,11,11,7
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,513,10,10,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,514,19,17,8
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,515,10,9,4
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,516,32,31,11
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,517,45,43,9
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,518,35,35,6
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,519,23,22,10
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,520,87,85,12
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,521,97,96,14
2026-06-11T13:54:37Z,abcde_forensics_stage_founders_depth14,drep_vote_delegation,emurgo+iog,522,97,93,17
