address,has_script,qty_night,utxos,pct_of_supply
addr1qyhgsxmgzhqm339uue4zjwwxx4r8842gsyd8xcdw09klzcx60d34qvne0l3ts7fjrue8d5uc65n3yaarfnn0qxrd039s9pu63y,false,6991553.60426,5,0.0291
addr1q9h97da00469z9yfw4eju9h3y42az3nrcl3er58e0xcpm3hw806dqp8p0ymx40mt3ljs6pad2q6mk8663386amnk46mshs0vsr,false,6275474.0,3,0.0261
addr1q9v6fg63fu5rlmwz0k8qr5j448w4sctpxhq7f9vw7tgk7crw4yrst3uz468c08zmurnw5t5qrf79c6qyhxttlklr2yrs85k7nd,false,6200010.0,2,0.0258
addr1qysnu3egl0pkzp7l75388c6g6n6fpgymezjq0hrfprg44pj6elut5zc0t866njpvrc7ays4nshwdtshcapcyvu8ry7yqdar462,false,6136233.851564,1,0.0256
addr1qyyqa68cn40nfvmkpp83v3pjcrd78dgtk4gvmu2zn6dtx5cgpm50382lxjehvzz0zezr9sxmuw6shd2sehc59856kdfsrqxk76,false,6102567.573293,1,0.0254
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwgdtwmya43gx2apzdhxr4fc8pcggryuscw2k2gck45dq47q59yhc0,true,5963809.226351,5,0.0248
addr1qxl4vntqalzhzl6t2gmcldaurptgua032rxcyu2v0ly80zwxl23t8tha3kpnjqvjrwcha2jx2kksttnl5xzsdwwyy90s8yv6kv,false,5711108.212582,1,0.0238
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwgzy79028urrhly83ch445w3thlk37h6sfz70qfvkx8mj2sqx60qg,true,5688937.631001,1,0.0237
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw0j7jtuuarxc8tv95rvr83t2u4cw7vf49xymfp7lznx2dzszkel27,true,5548071.95597,1,0.0231
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwt22t2xa34rpjwq6jcw8ndcvwazuenu3shfd24z06spyxnqfq9aew,true,5482578.078045,1,0.0228
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwg6sl8fpdp0qpzwge4nct3n52a3x5mqvlwjusk2datdhnskpfy7r,true,5469505.546586,1,0.0228
