source_tip_block,source_tip_epoch,source_tip_time_utc,funder_stake_address,source_type,source,transaction_count,associated_lovelace,first_event_utc,last_event_utc,attribution_note
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uyl0stvf8xjr6pm5h5ucyx2zgg8al4m56p7xgn0mj0mrf6c338cra,2,1515680000,2023-03-29 21:08:08,2023-04-12 14:36:52,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9jau4m7hqw9cxmdaspkpl94xfpydr8tpwvwvnpjynywtlg5h4yh7,2,1494210000,2023-03-29 20:12:12,2023-04-06 14:14:19,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uyqzhzjs84578ysphf49a0arzy5pcsjd29eav2gcnxpv5hqwjj786,3,1482220000,2023-03-29 19:26:27,2023-04-04 12:35:46,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9y56seekphqdrenvlk9m0avqwgj0hwgdc4w9d5yrnwegcqdfxumc,2,1387080000,2023-03-29 20:58:51,2023-04-12 14:36:15,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uygk6802fcz9ddmkdmx4rv23qm5lm4ctqdecr9t85wqxlpszr37vk,2,1374050000,2023-03-29 19:58:13,2023-04-06 14:11:56,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u97s2zmdsvkxmdfzl9zlvq2ldn49fvhwlp430r5vdpymrzgcujeds,2,1360360000,2023-03-29 20:02:16,2023-04-06 14:11:56,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u93c5vh9arycnvu3mt0hdd69623gplnvqjs2u09fyu8nxvclk974f,2,1323220000,2023-03-29 20:32:11,2023-04-12 14:32:36,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1ux9jkxly9xzw3dfj2uy8fgyqahgwepwqqjyyqqnjtnfucycwa8pxh,3,1255772806,2024-01-15 13:54:18,2024-01-21 16:08:01,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxngpze08lwqk046t20rq44x7f7644cvzf9vmmmpkgj77cswac8f2,2,1209400000,2023-03-29 21:02:04,2023-04-12 14:36:15,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9aq4amnvpanpe98vfnu837salcq624e776d7ja77p6pxsqyl7v3h,2,1203200000,2023-03-29 19:53:40,2023-04-06 14:11:56,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxau5x2pdlkxnr80d6gv34cj5ec8hd93kpptk9f58u463lq0vd3yc,1,1175503249,2023-08-30 20:51:38,2023-08-30 20:51:38,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uyr74dqvzk33nm9trnk2422jj437yj3h9j9y070y4hfvg4cdx030a,2,1162980000,2023-03-29 20:56:05,2023-04-12 14:35:12,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uypznj0e2psy6wgv8t5jaezftxs73rmlz7a9w44gr7xfklgakpvta,3,1132090000,2023-03-29 19:44:18,2023-04-04 12:56:38,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxep4rfqksfgshlxrnnynjgyygw4uqjewms69pr3jfu7fyqmp8u5y,2,1073065000,2023-03-29 20:47:52,2023-04-12 14:34:06,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8kwrfn6mdcsen3qw7kehjegycmvqgc5cxj8e4v3nlllcsqqqqxqc,2,952120000,2023-03-29 20:53:29,2023-04-12 14:34:43,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uy96s7em6yk4hcrcmszpegpxgt9la2ehzrjk78hzs3cx5wgx46h8x,3,926450000,2023-03-29 19:35:31,2023-04-04 12:37:56,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1uxjj4rm7msjp8ygn8kfpvua06qfrlx9w63h62txxynmenycq2s42a,3,900170000,2023-03-29 19:40:15,2023-04-04 12:52:25,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,address,addr1w8qnfkpe5e99m7umz4vxnmelxs5qw5dxytmfjk964rla98q605wte,1,656194251,2025-12-30 14:12:44,2025-12-30 14:12:44,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u80a5hgageadqmhpatl6sej0ytpgg0mpr8rv6vqzjmezwngctk06l,1,656194251,2025-12-30 14:12:44,2025-12-30 14:12:44,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9rh2jzcmhf8jk4t39sh6ukh6fq2hnxsxmaykasl5wtc0gcwz45vx,1,656194251,2025-12-30 14:12:44,2025-12-30 14:12:44,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u9e0m788sw87rxldf8ljlcn8p3dnmysy6qd6ssuw6whwl5g28q5gm,2,477630000,2023-03-29 20:28:55,2023-04-07 17:25:39,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8uwucpmhk2ce8uy0a4mfa47ppup3hkc79dckht4zhuma7c7wxxv0,2,398860000,2023-03-29 20:23:16,2023-04-07 17:25:18,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,stake_address,stake1u8wxv3rl2m344s66js9s4u6dekmvm7dvn80yha5zu4nn3nc46tf4h,2,206750000,2023-03-29 20:18:44,2023-04-07 17:23:56,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,address,addr1v9j3pglvpfhjw0334nyzl8e0lvyfgy65ngzpf84r0mudxwccapsss,1,190043663,2025-12-30 14:12:47,2025-12-30 14:12:47,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,address,addr1w9qzpelu9hn45pefc0xr4ac4kdxeswq7pndul2vuj59u8tqaxdznu,1,190043663,2025-12-30 14:12:47,2025-12-30 14:12:47,full target deposit associated with each distinct input identifier
13520244,635,2026-06-07 18:44:37,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,address,addr1wxaptpmxcxawvr3pzlhgnpmzz3ql43n2tc8mn3av5kx0yzs09tqh8,1,190043663,2025-12-30 14:12:47,2025-12-30 14:12:47,full target deposit associated with each distinct input identifier
