label,role,cip129_id,epoch_no,epoch_start_utc,voting_lovelace,voting_ada
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,609,2026-01-24 21:44:56+00,44278219243477,44278219.243477
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,610,2026-01-29 21:44:55+00,44294815470300,44294815.470300
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,611,2026-02-03 21:45:28+00,44435815419895,44435815.419895
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,612,2026-02-08 21:44:55+00,44463286804536,44463286.804536
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,613,2026-02-13 21:44:52+00,44502212603429,44502212.603429
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,614,2026-02-18 21:46:13+00,44511322084064,44511322.084064
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,615,2026-02-23 21:44:53+00,44520150519616,44520150.519616
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,616,2026-02-28 21:45:58+00,44565654669607,44565654.669607
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,617,2026-03-05 21:45:09+00,44579385099584,44579385.099584
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,618,2026-03-10 21:44:57+00,44605212783035,44605212.783035
adastat,community7,drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,619,2026-03-15 21:44:58+00,44605165737209,44605165.737209
