snapshot_utc,trace_schema,root_combo,latest_pool_id_bech32,ticker_name,pool_name,dedup_current_utxos,distinct_stake_addresses,dedup_current_lovelace,dedup_current_ada,min_trace_depth,latest_pool_active_epoch
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,STR8,Straight Pool,229,146,455884572066,455884.572066,9,530
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,CardanoCafe,167,106,455742947784,455742.947784,10,621
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,emurgo+iog,pool1rmpv0h0pecysach8tj06vxx9wku2pdm74mk9cunx759v58q0hu2,SASA,SASA Stake Pool,15,1,450777777535,450777.777535,14,545
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,,,9,5,450596360589,450596.360589,13,589
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool147en6w8f9cplnn5x7qt4ese7fpacmmcwuffrtu0yqxpaz4agppr,STI2,stakit.io Pool 2 by TOBG,194,110,442949536714,442949.536714,11,522
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1a4qtpgce7cu6wzc79fx7qrc3938hkl2gf8c2h5jugvm2gnu86l7,,,156,97,441705333358,441705.333358,10,618
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool18v9r8afalh50l4lstct2awdc3zspnvurcs7t45nv29uc2mnxc6c,LONDN,London pool,88,56,433981865600,433981.8656,12,561
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,Digital Fortress,135,53,432973507570,432973.50757,12,634
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1urgvu6zk422j4xwtxa45lzpd6dm25msfthpkezr042secrtuwzc,CCV1,"(Crypto Capital Venture) #Pool2",143,84,418492376566,418492.376566,11,568
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1crts5gmqr34gsrn6wvrhfs9yqp0ynu8t2t4r350xp80s6pc56ue,BREAK,BreakingADA,15,8,417641821790,417641.82179,13,331
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool16hs0jxw7h6pwg3ru7rcq3yvg4csj7lhmcpj68kqem2sh5nt8mwk,NUFI7,Nu.Fi & AdaLite 7,302,216,412678329007,412678.329007,11,606
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qqqqrwzy7njvjq9wph7usj5gghm3py9c97688ek8pgc7uem9cfz,FROG2,ADAfrog 2 🐸,79,35,412451533559,412451.533559,11,338
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1mh4ng2ldxk4sqfppzu6r4knxrk6e87e9c4wgrred84uy7xauzlh,CCV2,"(Crypto Capital Venture) #Pool3",107,66,409547632011,409547.632011,11,619
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1qvhss6kxmtl27nr4ugvypayhvt4a4vzll8p9csdg2v8q7d22llu,ASTRA,Ad Astra Stake Pool,74,43,409036746018,409036.746018,10,408
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,NORTH,"#4 Nordic Pool",94,42,408485893930,408485.89393,10,622
2026-06-11T13:49:05Z,abcde_forensics_stage_founders_depth14,iog,pool1ncg357pkgx29g6jrwunk94pwxe409ktxyrw8s0k66vwkc4qdgnu,,,4,2,400008780000,400008.78,13,328
