root_seed_id,pool_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,pool18hzjrr0xhadznttzq0va5vdhz2xyzjrju5ac7ztkwajdg80uvw4,2,612351823527,612351.823527
cf,pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu,3,607509535520,607509.535520
cf,pool16j3mvwws7zc9pjluyhddgea0tq647v0dh3y4nkcuckg9znjcun2,5,600344201871,600344.201871
cf,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,5,591952892495,591952.892495
cf,pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,14,583817389421,583817.389421
cf,pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p,4,574235791106,574235.791106
cf,pool1fp2ds5467a63k60r4sla6h8pju4q0z92h82hvqqv782vqqe4z38,1,573047935099,573047.935099
cf,pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,5,566726802445,566726.802445
cf,pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,2,558518899260,558518.899260
cf,pool1u7mqtde27swkarngjsn5mmw3sy20zavlafgqkmg8qv2n2nwga0l,5,558139861526,558139.861526
cf,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,6,555250925980,555250.925980
cf,pool1ewrm7y47s9hv6hxku9n5gfnsuspymp0qqpwgvgm9rvm37cek2h6,1,545689660645,545689.660645
cf,pool1eqj3dzpkcklc2r0v8pt8adrhrshq8m4zsev072ga7a52uj5wv5c,3,542013782456,542013.782456
cf,pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,10,532283600287,532283.600287
cf,pool1cn0dqtplwf67fds40hgkf0u5rm4q4azev5qutmgkw5hdyvue2ue,2,530659478198,530659.478198
cf,pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,5,522628508015,522628.508015
cf,pool1pfprlfz0ywcnewjegazz05ghgcfkvu40v6edsz6yn8w362sdjr8,3,522578571843,522578.571843
cf,pool1jdhjfcu34lq88rypdtslzwyf27uh0h3apcr9mjd68zhc69r29fy,7,517681714653,517681.714653
cf,pool1a2nh3ktswllhwf07fjahpdg5mpqyq7j950pyftq9765r6t4cefl,7,516319722678,516319.722678
cf,pool1djg8jsygtculv3q2qdrxtnpxfq003pdxcvlw2pvfupq7jm5xpgp,1,512100000000,512100.000000
cf,pool14enw2643rn9nn6yzv60jyz3hj4kxs0jvap87lkgsqykh508jxm6,32,506594742051,506594.742051
cf,pool1ffrre548h22n68ln29xph3qezrag3z8ad0kg8yzu6epds3qr58k,1,502645148146,502645.148146
cf,pool1uu35qfkmjyxwpm3pgptfgr0qga9j2fzkc0tsjplcx840x295xj9,1,500130677287,500130.677287
cf,pool1hkklrx9ac7w57d79mnv76rxlgq4acg5ecwhyep7k3zn0u5cz2k9,2,498697583537,498697.583537
cf,pool1c3ecg6h4m73a2mftmdm9mz3gxklxmnzuwzl9e38lzd4y26qcm8a,2,495324896265,495324.896265
cf,pool1vquhv3kh6xkklckaenl8alyuhfsld57ef5573aqauueyqacx4ak,6,487573512209,487573.512209
cf,pool15ccmgcc4k9t8auxw9v4dfjmrl2kqnuevawn8z6n7xv09utw9hh3,4,451070684179,451070.684179
cf,pool1ea568m9q882n0tx5d4vxff2dmz2n7rq5h62hx5ystq625m4tcfu,9,450318441550,450318.441550
cf,pool15wkxegrfflzcyhurrjxsm9ljqtz09xr5rtnqsarnp7hmsz5um3t,42,441410973460,441410.973460
cf,pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,2,440565424744,440565.424744
cf,pool1lurfk0k0wwx54hlg8a7zp3jtstu57u59aeq7aketl55hknmmtu0,6,435731409975,435731.409975
cf,pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,13,421138444869,421138.444869
cf,pool1pk8mzy6c7ef6m3qxc9gg6flec96pcn4sdd6maakkweyf5whuuu7,2,415704196124,415704.196124
cf,pool19asxjgd6ah9ddzauwede4wpt9vsp6s4ax5nz297wt47evc9sn7z,6,403267574582,403267.574582
cf,pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,7,394738747503,394738.747503
cf,pool1jz5ljsnj4fzmk84j0wcw9ldy866dn07nzqg2ktyuyjvfvr3jgtq,4,394625760425,394625.760425
cf,pool16fyda57p3c8gp5r6gmcq5tvqsp6mnzwvkxswgznkuh8wztrp6vv,5,383549164413,383549.164413
cf,pool1fxmancs3dmc9l0s7u7zrj8334m9nvzam5t5hnuuf4c7cjr6867m,1,381108557940,381108.557940
cf,pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,8,379140240187,379140.240187
cf,pool1n7s5kpymwd0zsld8q23tpf7z5esjaqwmnnzzssee5630zpx5ww0,1,373888300158,373888.300158
cf,pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,4,368205834491,368205.834491
