table_name,data_rows,bytes,sha256,last_commit_utc,age_days_at_refresh,snapshot_sensitive
tracer_name_votes,13,1199,bb852fd16e6af23a7e717f06b98ea1fc94cce4d9b85a96ff23d42756004741c8,2026-07-24T15:03:32-05:00,20,True
tracer_stake_summary,21,2384,14e2cfb736b37ec7268bc1b3d8070154875972e7d565257d2d7ea2eac9ee42c1,2026-07-24T15:03:32-05:00,20,False
tracer_terminus_census,23,2775,52ecc5b2fa1f323cdc04cc0979d3418ebfa783db35cced897d66f3b5d2af2c03,2026-07-24T15:03:32-05:00,20,True
tracer_terminus_clusters,11,2238,1b7e68589dfda62e779bf86a6e10bab91fbdcd41fe23c3c4415a4ad7370b417e,2026-07-24T15:03:32-05:00,20,True
tracer_transfer_edges,3878,1895609,1dc3b170c162bb32fd5131ef7ed3159720b432aeccf164540a80693debdbcc35,2026-07-24T15:03:32-05:00,20,False
tracer_valid_deposits,62,56372,5f31555fa5c034a8f0f394dab8509bc39f1cc240ac28bf11492090d7fc77a9be,2026-07-24T15:03:32-05:00,20,True
voucher_funder_delegations,7,1816,bd7c127cda6cf892b340b733e10cc3e11daa788f003522bf44a842e03a8395d5,2026-06-12T20:47:52-05:00,62,False
voucher_funder_source_summary,108,31194,43c2efd6082dd24d6356f9f20ffb82f3fb24c782bdff409452f9a2635f68108e,2026-06-12T20:47:52-05:00,62,False
voucher_wallet_counterparty_summary,699,169268,818189e249570a2f90ed3530e6978e9168a7b96c7fa9009ef349b6b482853b62,2026-06-12T20:47:52-05:00,62,False
voucher_wallet_delegations,1,376,5488aaf2089cbc5d9f8291ca0770e4a8c2ab23a2c0a8317843466cc1747ac49a,2026-06-12T20:47:52-05:00,62,False
voucher_wallet_profile,1,480,68ec14ab238feda112b4a2d74813d959c5058a751c31283a9036354953ed4022,2026-06-12T20:47:52-05:00,62,False
