merge_tx_hash,epoch_no,block_no,block_time_utc,root_combo,root_count,traced_input_rows,traced_input_lovelace,min_input_depth,max_input_depth
525ecf432d0aff77752eda9d38de58c876d26d702c4405639082ae34e9f091a5,61,1332511,2018-07-29 09:40:51,emurgo+fourth_entry_781m,2,2,6189330972524,8,8
164622557ae7831423f5f58e952a663102adebb122160185df781e46a0dd603a,63,1370892,2018-08-07 06:57:31,emurgo+fourth_entry_781m,2,2,200000000000,8,8
9d995534a1fd7d70707236dec01dc6b6e2bae0700b7ca82508bfa4130f5fd373,63,1370900,2018-08-07 07:00:11,emurgo+fourth_entry_781m,2,2,395906000000,9,9
0626f33cdcf6ff3e5b1884265fe3bf51d4f142feffcdc170f7aa81d47c218c82,64,1388128,2018-08-11 06:46:11,emurgo+fourth_entry_781m,2,2,15026662287540,9,9
a5cbdb4f74cc9b875ef3466c1acbf0c845d9c8569551e12e365b6dcdbe75c08b,65,1415813,2018-08-17 16:39:31,emurgo+fourth_entry_781m,2,2,5449330630032,9,9
c1a06daa49a4a3f86dcd8255a7af23db382e87c5e0506f87f6a4fd8938884df8,65,1419276,2018-08-18 11:53:51,emurgo+fourth_entry_781m,2,4,600000000000,6,7
7ce9ad41cc40a369e0afd0cb10402984e36c1520276bc15b8c3908dd5db2e140,65,1419280,2018-08-18 11:55:11,emurgo+fourth_entry_781m,2,2,19274793510,7,7
a71519bf33b4de1335217d88e7ce5cf544aa779148234655c9403ff27b609605,65,1420238,2018-08-18 17:14:31,emurgo+fourth_entry_781m,2,4,26589776529100,7,8
f2129676e4dc0590d8ffedd713b628d982304605588e02a560d2a01f44c733be,65,1421220,2018-08-18 22:41:51,emurgo+fourth_entry_781m,2,2,13294888264550,8,8
bb96b40f1c1a1c211919dab05634498386890b765c9db1ed6837a67967575319,66,1435679,2018-08-22 07:05:51,emurgo+fourth_entry_781m,2,4,980000000000,9,9
789f3433e55a254a1318324c2255cf5869f1f37e089d873041023af8925dc8cb,67,1451227,2018-08-25 21:30:51,emurgo+fourth_entry_781m,2,2,27612462654684,9,9
871d5e5b9f9ac301eed72f33c0823f95249d3ec52d169381fed06bf72fffa91d,67,1462521,2018-08-28 12:17:51,emurgo+fourth_entry_781m,2,2,13294889890242,8,8
bf1f280350875d2e8f337ac6d73a222f22b66510ff3ca9d6e4af3ad269db1966,67,1462526,2018-08-28 12:19:31,emurgo+fourth_entry_781m,2,2,10000000000000,9,9
753a653ed4641fb14145a22eaa99c886768e31a15e040fa2d0aaf1a53e6c0b1e,67,1466139,2018-08-29 08:25:11,emurgo+fourth_entry_781m,2,2,365047105286,7,7
775e49817886b8834769641571a618cc8b3d3cf19d354d97a225e6e7c42d4336,67,1466265,2018-08-29 09:07:11,emurgo+fourth_entry_781m,2,4,279587234074,8,8
984ca9073ee007dfa15267fe7288ccfe45eb09b10e072375ef193758184bd88c,67,1466270,2018-08-29 09:08:51,emurgo+fourth_entry_781m,2,2,126648974194,8,8
f578b6d883f937313c5837cf86ebd59e427199cbd5e593ff3d7c8c2d8c7178c4,67,1466432,2018-08-29 10:02:51,emurgo+fourth_entry_781m,2,2,70258644174,9,9
35add1816c535278a8f0340223cabbfa4cb34e9f1c5c279d1960273a10c8b023,68,1469362,2018-08-30 02:21:31,emurgo+fourth_entry_781m,2,2,1224856002224,9,9
