hop,destination,enterprise_only,txs,total_ada
1,addr1v8ag68puv7wgr04d843jvslczd3rcmqvea87p9zerh8jxnc02rjwv,t,1,84298.819979
1,stake1ux9ajvh2s3xtyf77hfkchtupk0gvsgn7tqtt2l6dg6923jc6mq7z8,f,1,81021.200000
1,addr1vyj2tcn4urf2lnk6ljaksuhw7c3k5zj0ljtmznkc8hfuq7skxjykv,t,1,79999.819979
1,DdzFFzCqrhsi5ZDMDfBXJsc8jRvs82ype5zrFNG1oNftmctvkc82juu6Cpn25mupYQaSfxaVWz9Jwah1bk5271nBAbUWApvgjLPBBuFb,t,1,79358.387808
1,stake1u9rw4qpzmjx9lqxrvlxmqugaum5j2vwvcv95v3kth45m8tcm3rhvy,f,1,75231.000000
1,DdzFFzCqrhsxcLJz33C51k2mCtgRkZTg46CD3iU42L2KMnNhMC4LMgL8RnPXZTKtVvypEcMNfJPfvjQxngbrp56oeqdQqG4kTYExdeQX,t,1,73533.118216
1,DdzFFzCqrhsq1aUmraFqXbND39YmynSD8z8DY9cQpHQrtgWfgmF3dRAdo2HkFDAcECranwmJoRc7JVFWPAq4Yi3i8zRzybawEstc3EV3,t,1,66826.719979
1,stake1u8cmtpvqpvuux660kvlvw4apwm7ycp76xj7a74mxm2u0khqr66m5f,f,1,63053.000000
1,addr1v80a4zscnj5tld2758xf77dj0rxh6pkmpe0uge35whug6wsqzvxch,t,1,61052.900000
1,DdzFFzCqrhtCavFKK1BKCbbzHeGtstbkf6i9sEyMRKKPMvoB4x4FBM6qCwWveRwBXS3C5uc1tgCmhCLUb31LZxW2Ggsg2rizRaxX9qm9,t,1,58340.535869
1,stake1uy940gj7d8c8r0dhs80mx0zgpcc03gl8glcvahth5nmur2q482k4d,f,1,58052.719979
1,stake1u9lzyzvz9ylv0muatdx8xaqhqc9tnl3c8gttpucnv45v3lc7jymge,f,1,55951.881382
1,stake1uya3z89kc976lsz35q9y4agwth7wfsqeftgu6mlvpt8wa5sq5w0fh,f,1,53764.477145
