root_seed_id,drep_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
emurgo,drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,2,68432952842,68432.952842
emurgo,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,7,64897991598,64897.991598
emurgo,drep1phvyckc7tqqlftyxqvp9fjdgczac4swsc7ssj26h785uxhwx0tt,2,56047185562,56047.185562
emurgo,drep1lw0n54ypc0pcqeptzwycpp0nk3c3wh62gnss79txgcdjgds4tvl,3,50573861804,50573.861804
emurgo,drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,2,46622019712,46622.019712
emurgo,drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,1,45600484614,45600.484614
emurgo,drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6,2,40903891327,40903.891327
emurgo,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,3,37161243373,37161.243373
emurgo,drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,2,22558719975,22558.719975
emurgo,drep1z4vr6q5kxpr7kmm667zgnpm7p2yps56zp3mqhjynt7sjyf4p65k,1,22208715460,22208.715460
emurgo,drep1vzp4tgzwp35r7u9yv2ms58nn7rr3mqpcrsku3qc23mujvv9c8el,1,20104000000,20104.000000
emurgo,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,1,16191837501,16191.837501
emurgo,drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,1,14700000000,14700.000000
emurgo,drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,1,12183587059,12183.587059
emurgo,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,2,12181705600,12181.705600
emurgo,drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,2,10928311132,10928.311132
emurgo,drep1e6cuc37dxye87epzzmcfqs6t32s6ev924jp6aga77jmmvf9va2t,1,10360000000,10360.000000
emurgo,drep1ukanq0sluynnjnumywfp5du3w9qtkgs4q48gpcwvj8nyg9264gf,1,10072000000,10072.000000
emurgo,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,4,9793101224,9793.101224
emurgo,drep1cm6mupj0lszffgnfe3t0we7r7c9kwc6lxd4ad7dstf6gggtdqc3,2,7487000000,7487.000000
emurgo,drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,1,6738252851,6738.252851
emurgo,drep1aqr3j77yyu92kyjuln30n59tpnp5z3aceaq6d5ljr0jx6ket027,1,5107498210,5107.498210
emurgo,drep155mx8fszw892n4f0afmy8vern5takfkuycgdgkfxxd3fws4gmfk,1,4140795968,4140.795968
emurgo,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,3,3662298465,3662.298465
emurgo,drep1sfr9rpws87tesvdzdlmznn5hrf3ezktmwqt9juj3jgelz6mqn60,1,3323000000,3323.000000
emurgo,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,1,2684900000,2684.900000
emurgo,drep15l8ngwtywu59eshrw6nswa5y2mh2p2699za5w6v2nzsqg7x33af,1,2011114789,2011.114789
emurgo,drep1vlx2m8ymj0eug8g9w0n869r3mtn5k66avkjce2w2qrzx6hx8jje,1,2000000000,2000.000000
emurgo,drep17delrdj6c38jgmh73y4rs3qxrad3k4qtnscx2f3v4z3x6vp08vd,1,1402850958,1402.850958
emurgo,drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,1,1184000000,1184.000000
emurgo,drep1m2k6dp66gr83chkff2fr6y76wgta5xx8umstphsrrsw9ylhcfha,1,1181203098,1181.203098
emurgo,drep1e7wfa29m9gqnqn6yh4uehv5tfz26dcmzhayh3gt5q4l25xrnv2c,1,871161685,871.161685
emurgo,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,1,429000000,429.000000
emurgo,drep1qf7fk4r678gnm65hrsyhgjj56qakdygcakvl4hfu87rxgvh9j9z,1,267689385,267.689385
emurgo,drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln,1,242156600,242.156600
emurgo,drep1g0g4ntlgxfnanvtqaa405y3ruszqyfhx46snptktzwg8xvtce0u,1,239000000,239.000000
emurgo,drep104534qle8pq34satg3xxr2vp67v9630wc67qfq0ly0vycfrx5l3,1,177120488,177.120488
emurgo,drep185yt5r9avk7m9zfyx4cuycak9eeksj0w6rfua6t9c4q6k23mz02,1,171739323,171.739323
emurgo,drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,1,100000000,100.000000
emurgo,drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,1,99000000,99.000000
emurgo,drep1ng2exqa5zjz8wfd87wd7kkmlmurx2ef79ddlag7lww8hvtnjzuq,1,60938000,60.938000
emurgo,drep1xet3sscmgq2ma7d495h3yxj7uxpmfxq0ja5nspsqaus7k9ugq3t,1,49000000,49.000000
emurgo,drep1duf9wj2007jp8zd2k2khq69ppykwq68zsp8vksselwaj5nvnr3n,1,20000000,20.000000
emurgo,drep1afljuuafncq4qg46r5zdtjwffenf3gkn4cdeqlqq6e5kkgh6v6t,1,19000000,19.000000
emurgo,drep1du87slp2v6esqfw3pjdpz2kds3fdjjwghp9q7y56mhnzwqd580j,1,3103380,3.103380
emurgo,drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,1,1500000,1.500000
fourth_entry_781m,drep_always_abstain,560,29027454388596,29027454.388596
fourth_entry_781m,drep1sy4x93yl9c6q59ewmhxpkumkjnlz8th4wfetddj8lzryvsu7hqk,4,14071104729986,14071104.729986
fourth_entry_781m,drep1hvlx2cdu7ql8238dwhrjrncm43q3sl5hlmcmp24p0rcnzcwzcyd,1,6743389271705,6743389.271705
fourth_entry_781m,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,5,5070582088107,5070582.088107
fourth_entry_781m,drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,7,3746842895353,3746842.895353
fourth_entry_781m,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,82,3065840190700,3065840.190700
fourth_entry_781m,drep1nsrvsnf88cchsc4dzh7kvyn2xqvxn5f7hhenlt8d88gexd2e44q,1,2379472698487,2379472.698487
fourth_entry_781m,drep1c59ehxlwkrsulmzhxpx86gr5d4vl9vl8rwa6s3l53du7yeus3y6,2,2072097040085,2072097.040085
fourth_entry_781m,drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,13,1910074454064,1910074.454064
fourth_entry_781m,drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,3,1810478769248,1810478.769248
fourth_entry_781m,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,4,1805279537871,1805279.537871
fourth_entry_781m,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,8,1752629673089,1752629.673089
fourth_entry_781m,drep1zekyxrq5auz5c8gf0p6zehtmfnl7s9q4uqq8m4wkvm4e764u3yw,3,1458383500400,1458383.500400
fourth_entry_781m,drep1mkmnzmtlflcadyyy7g6ju3sn9ppcrut5wn73x00mfwmw642g5qy,5,1372561523365,1372561.523365
fourth_entry_781m,drep1at8ej9hllmfjms7c5j3xm579qrn7xcn95avesf4s2za22ukhurv,1,1370342472562,1370342.472562
fourth_entry_781m,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,4,1025157776619,1025157.776619
fourth_entry_781m,drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,9,923469181596,923469.181596
fourth_entry_781m,drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,21,881495278822,881495.278822
fourth_entry_781m,drep1u632p38chcackajaw84rhsx7vpsxz4fcetee2tct8pyrgeftpr7,1,820064186200,820064.186200
fourth_entry_781m,drep_always_no_confidence,30,772089669411,772089.669411
fourth_entry_781m,drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,20,584782119016,584782.119016
fourth_entry_781m,drep1ysy0kzhamk2cvfzrql50unfj9jkk2zffxtaae5zmc39cs3uec6j,1,532556417500,532556.417500
fourth_entry_781m,drep1u05yg5ttgkchzpwly339xrc026x27unxjd6vd7dv7umzj2xns0e,1,515633270196,515633.270196
fourth_entry_781m,drep1d65maj046auj5ccj9mfwmy4xk6gvkmvpz534unz4jclnqgx6qvu,1,514213900491,514213.900491
fourth_entry_781m,drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,1,471201214259,471201.214259
fourth_entry_781m,drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw,1,445813050555,445813.050555
fourth_entry_781m,drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,10,387404657564,387404.657564
fourth_entry_781m,drep1pldju6te2rttusf9lq52fzjk6vscq6zsl9z3tlskwwwgxz40xcd,2,212285680577,212285.680577
fourth_entry_781m,drep1h95f0wrxasn0fwfajwe8jtjfdw5nd880d073wh2llvxk54rvnus,2,201969434355,201969.434355
fourth_entry_781m,drep1rn9jm2r7l6cu5jfy53pzzvztayg388n66ll7sghj2dt0uah8u3j,1,195114619991,195114.619991
fourth_entry_781m,drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,2,186076371478,186076.371478
fourth_entry_781m,drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,5,185629756877,185629.756877
fourth_entry_781m,drep1hsy55c300sxskmq0vssqgp8uahwhcdnxxevzysmd7gzmcgzgzsu,2,165199053807,165199.053807
fourth_entry_781m,drep1m7rzzk4ftvd02w872genpy6kzeyplhdyjeaw9kq3yhmzxtwnfu0,1,90639367821,90639.367821
fourth_entry_781m,drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,1,76104656804,76104.656804
fourth_entry_781m,drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,2,68432952842,68432.952842
fourth_entry_781m,drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,7,64897991598,64897.991598
fourth_entry_781m,drep1phvyckc7tqqlftyxqvp9fjdgczac4swsc7ssj26h785uxhwx0tt,2,56047185562,56047.185562
fourth_entry_781m,drep1lw0n54ypc0pcqeptzwycpp0nk3c3wh62gnss79txgcdjgds4tvl,3,50573861804,50573.861804
fourth_entry_781m,drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,2,46622019712,46622.019712
fourth_entry_781m,drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,1,45600484614,45600.484614
fourth_entry_781m,drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6,2,40903891327,40903.891327
fourth_entry_781m,drep1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknjmv589e,3,37161243373,37161.243373
fourth_entry_781m,drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,2,22558719975,22558.719975
fourth_entry_781m,drep1z4vr6q5kxpr7kmm667zgnpm7p2yps56zp3mqhjynt7sjyf4p65k,1,22208715460,22208.715460
fourth_entry_781m,drep1vzp4tgzwp35r7u9yv2ms58nn7rr3mqpcrsku3qc23mujvv9c8el,1,20104000000,20104.000000
fourth_entry_781m,drep1ectemlv45xsnvenfgkhwsxncfvxev4qllj7x5w6vlfc7kmd9zcs,1,16191837501,16191.837501
fourth_entry_781m,drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,1,14700000000,14700.000000
fourth_entry_781m,drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,1,12183587059,12183.587059
fourth_entry_781m,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,2,12181705600,12181.705600
fourth_entry_781m,drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,2,10928311132,10928.311132
fourth_entry_781m,drep1e6cuc37dxye87epzzmcfqs6t32s6ev924jp6aga77jmmvf9va2t,1,10360000000,10360.000000
fourth_entry_781m,drep1ukanq0sluynnjnumywfp5du3w9qtkgs4q48gpcwvj8nyg9264gf,1,10072000000,10072.000000
fourth_entry_781m,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,4,9793101224,9793.101224
fourth_entry_781m,drep1cm6mupj0lszffgnfe3t0we7r7c9kwc6lxd4ad7dstf6gggtdqc3,2,7487000000,7487.000000
fourth_entry_781m,drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,1,6738252851,6738.252851
fourth_entry_781m,drep1aqr3j77yyu92kyjuln30n59tpnp5z3aceaq6d5ljr0jx6ket027,1,5107498210,5107.498210
fourth_entry_781m,drep155mx8fszw892n4f0afmy8vern5takfkuycgdgkfxxd3fws4gmfk,1,4140795968,4140.795968
fourth_entry_781m,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,3,3662298465,3662.298465
fourth_entry_781m,drep1sfr9rpws87tesvdzdlmznn5hrf3ezktmwqt9juj3jgelz6mqn60,1,3323000000,3323.000000
fourth_entry_781m,drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,1,2684900000,2684.900000
fourth_entry_781m,drep15l8ngwtywu59eshrw6nswa5y2mh2p2699za5w6v2nzsqg7x33af,1,2011114789,2011.114789
fourth_entry_781m,drep1vlx2m8ymj0eug8g9w0n869r3mtn5k66avkjce2w2qrzx6hx8jje,1,2000000000,2000.000000
fourth_entry_781m,drep17delrdj6c38jgmh73y4rs3qxrad3k4qtnscx2f3v4z3x6vp08vd,1,1402850958,1402.850958
fourth_entry_781m,drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,1,1184000000,1184.000000
fourth_entry_781m,drep1m2k6dp66gr83chkff2fr6y76wgta5xx8umstphsrrsw9ylhcfha,1,1181203098,1181.203098
fourth_entry_781m,drep1e7wfa29m9gqnqn6yh4uehv5tfz26dcmzhayh3gt5q4l25xrnv2c,1,871161685,871.161685
fourth_entry_781m,drep143lxtf54ps3xe3sjtls06r6apndw779njp0m4n4m0m3xvynaq4c,1,429000000,429.000000
fourth_entry_781m,drep1qf7fk4r678gnm65hrsyhgjj56qakdygcakvl4hfu87rxgvh9j9z,1,267689385,267.689385
