feeder_address,untagged_creator_count,total_feeder_ada,first_creator_epoch,last_creator_epoch,exchange_entities,exchange_likelihoods,exchange_categories
DdzFFzCqrhsya9oAK1oMLTz7c8JrqBMrRZg7BScGtzqkHWPrzsEbyKNtXHpmMJyeUWTN9wQFjVZLkDdxN3AMRZu7kJxjssg8yFY4xrKQ,1,800079.011412,227,227,,,
Ae2tdPwUPEZ4dqCQKPEzHQP5kccevgfoEB571TcA8ryjJ4xE2vXFgR3TqD6,1,600544.068284,239,239,,,
DdzFFzCqrhsyeuSfFwoESJC2xA7wB9AvvtMH9zNwEG7bV5wHTh3mwi6XJ6qZauawzu8MR1H9EQ1eC9X7dvafZdTntSJFVGkHmWBtDLNZ,1,599998.000000,227,227,,,
DdzFFzCqrhsnDnDLtto3Yai83yUkjMjHvngGXEu3ABTfdM588Qxx4LkMMGZLmvjGU24PF3b4xRoYqAcfmAeutWjKFZiAvHf6a4UvoSXo,1,562759.709453,227,227,,,
DdzFFzCqrht2mfnKxM3a2zwJsQq8nT1JaWFZgPti2t3RQPRaYe8HGZMv6E53svpifsT7xvHJn2az8itVUhECNPjcRPadAipEzaSnSYPk,1,544514.809363,227,227,,,
DdzFFzCqrhstNv1Z67ztNY72t9VhRQEG2EaDX9NCXtNGBRLtFCZF2rWD2KrRknxy2epXmv1q7crWFCumfgKVsaFozVdAMDfxX4fTN1Sd,1,466920.078221,227,227,,,
Ae2tdPwUPEZ4g7JvFeYCYnU5g661AvD5ZdTr3QrBexRRkd9mqFcsY6pkzbr,1,279302.687869,199,199,,,
DdzFFzCqrhse53p9bp3aXgbHGtX2StbUJ5xpbLes33yPb7wS4qr8UCJPYrcNNPcA9XB4Caci5xbyMx1MwPvKFYTF64tbBpETZqXFBUKf,1,242358.196248,227,227,,,
DdzFFzCqrhspf7LTrZcxDfZY5UzGp6Mo12eYJTWCCknbig97wR2GrMPtfn4GkfTF33tTYTnNn2z7ksAmFCxpessFMPo8oKfk4j51hC45,1,236570.699449,227,227,,,
DdzFFzCqrhsvSFmEVHjvRW6wYkXbgsZdSY371KrWSXZCqaMVW8XhWhaG4BgQrF4ARudZ8LEj8Ec13DurcJV4h7sqx5USMz9a5JGsCipS,1,200713.877230,227,227,,,
DdzFFzCqrht8AGtAX4P6e2qZZQTnYVycw1wtHyhjPQ4KP4V1TUU7JcCuAYuvoxrs9mPxNiAACD7Mgy9r4XYgYBwbGzBdnFmjAdjVQtri,1,198353.173757,227,227,,,
DdzFFzCqrhsetH6DNv5Uy3b46f9Ks4C49usUSLt1NYMdu8kRWRKXDTm1vz7b1XXXUctceFxxKLzcGDK7cTsvR3nayNuicJHamvJtwZGi,1,196802.231081,227,227,,,
DdzFFzCqrhsoegRSL8S7cURAoVE6e8zHDCwaNPXHzwKUnN9M4StmqbuMAyuMaWarjuH3ZWH1LYhHPigUA6uEc3aem6qVHyiD6kJYn3jn,1,166776.456052,227,227,,,
DdzFFzCqrhseuQBDQBYXFDVV9tG5P8pLm6jfi7fNs3Gr76ASf9zWnbHBKMsTjK5p86MjUjNMnWL6GhVExkiJQ2UDjVvCst72rda5BivL,1,150942.225364,227,227,,,
Ae2tdPwUPEZK6ccQWXdHXoanfZWWZNEJF3cVktHW22ncwYW5kkd3j96gav6,1,149252.396200,246,246,,,
DdzFFzCqrhsoaj11x5m8iXXhWHKuVfZ3g3q64uWQA3YFFAFmshPjEE2SzMLBtGdmL9FWYFgo7ZJvYF4vDbMVjzG2rTnWrzfvYp1PDxmQ,1,129481.931427,227,227,,,
Ae2tdPwUPEZMSvwf8zCMMSoHWUUNStF9tMwf7nzkba3dtwFYygP31pxQffm,1,126747.646207,232,232,,,
DdzFFzCqrhsg8JMRi3cmfLkc3Lk894q1NDda3BDiieRaW5QHpVQT66mfKGboN24oiFicCicWqZaYSbXJX6WLitUswYANtgLu29TRLi8m,1,118603.000000,227,227,EMURGO|IOG,LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZBqRgwoiYU2mykAL8v3PRbMbMDYXgr1hLqBU8A2C7NtztEaKK,1,107197.000000,242,242,,,
Ae2tdPwUPEZ1ocX6VdiE58LiGWqZYJzCv2x5bLvK8UePQvu7F9WY6uQFkmy,1,106434.559147,243,243,,,
Ae2tdPwUPEZ5AQLVLS3vcuUuhGYKpqwT8wd8ykETNBihEuxG4SNGMHmU317,1,105081.801453,244,244,,,
Ae2tdPwUPEZ5gCNwSdnhTz93nyMBG2wLpXGa366EA9yRfxTdHs39pfAvkM6,1,104842.356738,246,246,,,
Ae2tdPwUPEYyRtjYVx2PdUj1vMix2pBWG8odUoMsGZWFFsaUce6b6BgE9vi,1,101764.160332,240,240,,,
Ae2tdPwUPEZ1fbL6cCBehC1FkrstkFYzQAEQYRVouB5aVdQoKQzSTSNn5Ge,1,101000.000000,240,240,,,
Ae2tdPwUPEZGuWhfWrHgNpz1BsmiwHieSwUkQ6UrkXVayzyxHwa6GiS1cPs,1,100976.000000,239,239,,,
DdzFFzCqrht9HnufghPShWhcdJD4KT1ugceAEjj1bLu5zFHvhEJP5Nqsyy9mo7c8qYonnzrfhmG5rpnCQADwefU4qKZNMVrAgcMPm5Np,1,100590.000000,227,227,CF|EMURGO|IOG,LIKELY_EXCHANGE,EXCHANGE
Ae2tdPwUPEZCzsWr5m3K5K3A5ydUptQezy3zWaPZ8dwN7RYF7Z1wPhAbVJB,1,100166.143839,238,238,,,
Ae2tdPwUPEZBBT2QS2keSkHiPdZSh7TsSYBV7XJdPUksrRpERnYbvUcjC8h,1,100000.000000,240,240,,,
DdzFFzCqrhstRquna2HCtcUgzYTJB1sqxkDdXb4YFUrtgXyKRso9rgQmytBAe1LofbMq21i5PU5Yz2UvTycgpPkvj4hkNrzRH1AVvch4,1,100000.000000,227,227,,,
DdzFFzCqrhswv66EYxwR4LZfrnorLazMe6LaWV9LfFbkvPxwVmzy53J33hSx5DyGXwTmNYd4dzvG1BNJ2WfCWRzVSJ8wsDXruHs3EYrU,1,99998.730000,227,227,CF|EMURGO|IOG,VERY_LIKELY_EXCHANGE,EXCHANGE
DdzFFzCqrht1Zxy6tQPc9YgMYeDCvpWgwd8feBAuR9UiFEehWuHbTsjaLaVJF4tPBH9MjtgB92oS8vza5Y8xuGsEUTX7cCgRoRXFXy9X,1,92136.744237,227,227,,,
Ae2tdPwUPEZ9kDfTMAoFjyuzteRivAfJgfnfCGpNYrMXs8kN79YZUTTJnBp,1,89921.341319,243,243,,,
Ae2tdPwUPEZHn4cYMkbLExQKJEHvUSyFZwZjKcosuzCTjJ7RYgkFR2Kt4Qo,1,87244.156056,240,240,,,
DdzFFzCqrhsv29oobFaH4va5Qn3a6DHF4udSp2rsBv1xDhespq6VmLimkmT7vCEa3sM3zTkdKeXEtovtUkbu3vsLaySLurMAVqUU4xFb,1,85619.635920,227,227,,,
Ae2tdPwUPEZ8m1m4RC5x8ie8yNUZEetXgpgTCogafDWgGFev6ZtmGKwmx2M,1,80339.906375,228,228,,,
Ae2tdPwUPEZJkBVJ3GZ82FG67MmqWo9VhxgNGPnpxCsB42W9NJd8kr3Capm,1,78684.545078,244,244,,,
DdzFFzCqrht7bkMbFmPP6XGtGehBDM5NrBXFRarxarP8x76bzdj9sRfkTyjs6zZEVDLN7Y4j5mkSwFmuhUPAgjegQrnfmoQgKQevcDDx,1,76830.600865,227,227,,,
Ae2tdPwUPEZ8XWgmvpsiPTUtfeGeCYQ74UM36FAMhKJewd6wrPuG2kaQFLw,1,75098.000000,239,239,,,
Ae2tdPwUPEYvrDiv9YhgawYDEt1sRwCaNHBqq1GrDSow4tAJPAZC6ir5N3W,1,74683.134505,237,237,,,
Ae2tdPwUPEZ5DMjPbueTKigw5SbaACnBkVTznj83fk3Xu7ThcvSajhwLeJ1,1,74652.653000,201,201,,,
DdzFFzCqrhspNc25EWPgMCF5yP53yXsLwRHk7W1AikcyNwFxigsdc4ctHASv5k6BSmz1VDxsvQJu9cFaXNWtV3k8mZVjSFcG333Y38GV,1,74265.825011,227,227,,,
Ae2tdPwUPEYvyJBSjzSRPeqFn3K5L594Y6bdsdZG3nYrkCydLm2ho9mmN55,1,74173.650700,197,197,,,
Ae2tdPwUPEZ39eGwkhzVKxhEJ517YfDjaHPRTFEjyzHUmvPqDzdZK4YXexX,1,73662.644427,238,238,,,
DdzFFzCqrhtAb8tnTBbSSBPV54NbRHT1YmPYx7E5UB9AZAHdnhixLfsSoKxStKzmDSfvkMpQb4iCX46cmZFZzaA4KGb8cio4vV4UMhh1,1,72071.274995,227,227,,,
DdzFFzCqrhtCipR1rJoCZp8NTURTQmwFFeVhVNF51XKdRYpP2a75y7J9oVpMrEtB6hR8uxjz1M6C8aHqeHFxceR4Pak9QQT4SPcXrara,1,71889.545513,227,227,,,
DdzFFzCqrhsr1dLwSewSnKj9uzcaw8o7eRjXwEy4WWaJ6HJoDgq6PbMHbJowReq4jX1nRtiCXUBtJuYjtGo2zNXbyAQD1LUHxJuUgARy,1,68447.214482,227,227,,,
Ae2tdPwUPEYzSp7gEuhd5JhUe15gHSLdCdrtuSRymn629nKxSmjWCKRvUcK,1,68145.603984,243,243,,,
Ae2tdPwUPEZAzzfWaHYfLrUEUjarbnvxRQgfuqT36cMvVVTyopEjkCqqkGV,1,67458.513975,244,244,,,
DdzFFzCqrhsym7SaKAWB71RhkPSBAvRaWxosmMQYFxPX7J1CcXX9r4EvgQtUM2FUagquW72BNmyhGjHAM8iAq1amQcpqcneP7HtMFL1m,1,67336.165963,227,227,,,
Ae2tdPwUPEYwhGJdLTfYMivxw5NjKUwJRorhnTw3erBLAPsE3zDQUDpUvQr,1,63999.000000,246,246,,,
Ae2tdPwUPEZ15Ef4kfTDVYbBpNdS7PTcGuGHsEbLAtbtLvPYuRKn4AmdFPE,1,61695.099000,240,240,,,
Ae2tdPwUPEZEv45VBiU6D9NDkMCgUnRAGTyRLNtHrDrtYJ9MxToyn3mz2PJ,1,61243.600000,233,233,,,
Ae2tdPwUPEZ8vowRrhaLnmx7t4We634eZSXKxhTy5epTpKDSenGhhV3A5XM,1,60067.461597,243,243,,,
Ae2tdPwUPEZ1vyVZEg8mPHfXxgajLhYnLc4hqb7qZzzCLdwZHM98czzKaJd,1,60000.000000,244,244,,,
Ae2tdPwUPEZ9NVFpNvNPy2fY6hE8Kv2oG1a7ocCELYKqKQXkxdSTQGA3hqB,1,58657.000000,248,248,,,
Ae2tdPwUPEZGjQfYsqsNAiv8T3HxYevVngEvURnDZY5BLt9X2F3T6a9YMU7,1,58261.808077,232,232,,,
Ae2tdPwUPEZ9D1XbXTeBSgkxT41PN8mWPFPeEbhhj2nALg8h9NgrqroRaea,1,51677.124212,230,230,,,
Ae2tdPwUPEZ33J1L1jvwL33dRG3WEWVPa6BZKvCmkyVhj8Gpjr3DkUu2BbU,1,50770.000000,198,198,,,
Ae2tdPwUPEYzrJoXUfjKqckgYfcZKiMWjTHNhQHYMg41eW3HxwLdQBovFER,1,50227.595602,244,244,,,
Ae2tdPwUPEYyba6B3x6vVsRus4m4bqnvv6PYDecP7hitSABhNWw7r4P4mPA,1,50135.956865,242,242,,,
Ae2tdPwUPEZCM1cceSYdPqy7aRKth9ER1hZ1nCRHXLgUFMWkgU2me9Bev8n,1,50013.713224,242,242,,,
Ae2tdPwUPEZ4Xz41NEyERw7owKXh53ePTsCQFm4LaBCLjnh5Rv16wHVgUCc,1,50000.000000,220,220,,,
Ae2tdPwUPEZ7kMSuQuTe3UWxfRwq5eVDZfahxvMXYkzskpPsBMhakdaa83M,1,50000.000000,240,240,,,
Ae2tdPwUPEZGJpxivQLTCKAV3AdAjveng8HJHDCa6cqUXaHozJ8mcs4TQhr,1,50000.000000,196,196,,,
Ae2tdPwUPEZMUAiyXncrqTiE3chFjHY44ZtWwDTtUUXpqZhc9QkV6oVzzst,1,49999.000000,230,230,,,
Ae2tdPwUPEYwpDD3i4wEtt63cHrt7tkqHX62bQRgBiDuJEcjF6rvvZh2jEh,1,49997.000000,242,242,,,
DdzFFzCqrht2TpfeR38CwW5s17CPB9DEW4mqR9MGGBgR33u432XNVv64H4Xq7wXSvFgPxDs8QUqVuLpWjMjUkJmuBf14g4CWzQiqAwkA,1,49443.419835,227,227,,,
Ae2tdPwUPEZN5cnQVK1sCiBVqC7mmhtQADafFRR2n67W49BWKmSYLEbE99z,1,48258.622886,249,249,,,
Ae2tdPwUPEZLKZS22if7pSP76yCJvdtQYghVWJg21MLtS7K2oRCRdgeV8pP,1,45834.840000,236,236,,,
Ae2tdPwUPEZCQrvcdxGkHteGtsEYcrvwzdGiKqetrHfAgARRfSXV7idrAiU,1,45429.217926,244,244,,,
Ae2tdPwUPEZ6MUoX1Af1Muiet88JSkScGfmPJPEGXYMTEo56eDiFDgXWJoB,1,45000.000000,246,246,,,
DdzFFzCqrht6cCwdeTqdEwKTftE4V51gL6XtT8zQpABZnVEZhNNmKchWCRZ1A8cHKzvaVvSXSVHA2eUjUtLvsbL1VhTujHbX9txvb7uq,1,44909.010700,227,227,,,
