stake_address,overlap_type,emurgo_outputs,emurgo2_outputs,emurgo_ada,emurgo2_ada
stake1u8gpmxg569kl0zp9evte03jptqnde65uk8elsd3v8ludhmsfyzvf9,BOTH_EMURGO_SEEDS,1,1,575651.000000000000,575651.000000000000
stake1uyu4c8vwxjcmc28tzfcgnwpjd6wd0ux48kz4dyjcsh99g4g2dp4sc,BOTH_EMURGO_SEEDS,3,3,543476.611812000000,543476.611812000000
stake1uxdfgdakadrfw7kynl6z5jgmduyse22gjujy0g0365qku3g4gs0vx,BOTH_EMURGO_SEEDS,54,54,540616.816240000000,540616.816240000000
stake1u80u8xh7ph7ytj276jqaa66uyk2nlskdacj25mdehdd4q3suj277k,BOTH_EMURGO_SEEDS,18,18,536238.288974000000,536238.288974000000
stake1u9ruk840fl3032m6y0uett3awzgajf593u5yd6sm4h43wqc6qav3e,BOTH_EMURGO_SEEDS,1,1,532556.417500000000,532556.417500000000
stake1u93rnukp3h0m6xhqxpayvvzsrgmky2jygfp26hp28mdr33grxwxkw,BOTH_EMURGO_SEEDS,1,1,528791.512184000000,528791.512184000000
stake1u8k8l4dr38yfe35n62hlzlzxxdpn5kw7fp02xsrty4yr3qsmmjd6d,BOTH_EMURGO_SEEDS,3,3,515633.270196000000,515633.270196000000
stake1u8677xctgstj2k75qlm0ptwdvcsqdndp0p6xk6qfkly2alqdk5p6s,BOTH_EMURGO_SEEDS,2,2,514509.153679000000,514509.153679000000
stake1uxzv7ms2qzmumzh82pj4kfcqt7n9k9m80xuq2m70y58dl8sfdp8ze,BOTH_EMURGO_SEEDS,4,4,514213.900491000000,514213.900491000000
stake1uxtug2ptjmpx4wgvmj26q2d020hgk9d7jvmc27r8354xvtc87y72c,BOTH_EMURGO_SEEDS,1,1,510922.075300000000,510922.075300000000
stake1u9k7dujr8p2ddzjf0kvv5xcghyhmy6qhelrcj6dxv70p5mq35r0rn,BOTH_EMURGO_SEEDS,17,17,510468.083349000000,510468.083349000000
stake1ux43m8rtludfl2g7999vf6l6rnd609hzl04glkq2q7p5vggjcz7qk,BOTH_EMURGO_SEEDS,4,4,500806.481315000000,500806.481315000000
stake1u8j2sn6phpsr6ert6x7ywg5nvykd7upjcxn9m2zuazlfekgkfawtu,BOTH_EMURGO_SEEDS,1,1,499999.821811000000,499999.821811000000
stake1u9nj572sxljt2r2jpkzptxyw94h64vgx5hj2mjnxfjh8cqs2sa4vs,BOTH_EMURGO_SEEDS,9,9,499999.730615000000,499999.730615000000
stake1ux7wlnzepv25mewyuufg0wqvfjucvseddr2xp8lslcnt3dsnafqfc,BOTH_EMURGO_SEEDS,1,1,499999.000000000000,499999.000000000000
stake1u9ppx2uma6dglfv3mfpl363tgfyejfk0ah5s0adh3u3fe2s8kkk6s,BOTH_EMURGO_SEEDS,1,1,499991.000000000000,499991.000000000000
stake1u8nkzke2xjfrgxha8q4ld33hryuq8u2sw2mr2l6tnwf9a4c7tn6ya,BOTH_EMURGO_SEEDS,29,29,493747.053141000000,493747.053141000000
stake1u8tp4jh3tyt8ryn5ruaenfrce8wcmcsrxdm0tfevj86cyrqhs35fs,BOTH_EMURGO_SEEDS,2,2,486659.759365000000,486659.759365000000
stake1u98z74skx8kcwg30v2ppzct4c7dtn7mqm0vua8v8m3z5xmq6svjrl,BOTH_EMURGO_SEEDS,1,1,485274.475312000000,485274.475312000000
stake1uy7afpqw4nr2kgeczkh56ll4glnr07yhxamxum6ez90esrcc7l0js,BOTH_EMURGO_SEEDS,1,1,483246.525601000000,483246.525601000000
stake1uyz0cqm5h8auswzxsx8nkhwxwzhn4gjmpevl4wvpv2ljwrsljsrze,BOTH_EMURGO_SEEDS,3,3,480647.443490000000,480647.443490000000
stake1uyzfsq88va7z3ww37cnq60cug829ex2epyzduylc7gn442skk4re8,BOTH_EMURGO_SEEDS,22,22,478354.256300000000,478354.256300000000
stake1u82qlxrld46pzg2u9a0l84gjl6n4u6tk8rxj3f5gn7p97ng7vwucq,BOTH_EMURGO_SEEDS,3,3,471205.214259000000,471205.214259000000
stake1u8h33hhu4lrdqr6ywwlr6zaxp5vzqcc0md7yjqnm208ca9cyj9p2g,BOTH_EMURGO_SEEDS,8,8,468659.946972000000,468659.946972000000
stake1u9nxfc6alc3ufdvqjzsee7pk8vuvm83yeg3jghrumx6zjhgp4v3ag,BOTH_EMURGO_SEEDS,4,4,445813.050555000000,445813.050555000000
stake1u9zrmhz9wtzedus9f4yaz6ceknkf4a77ryay02yg6mgtnkc9dfatp,BOTH_EMURGO_SEEDS,2,2,445131.674253000000,445131.674253000000
stake1uxs3hxfl37a8farwgpay04swvmh9dzusufd5fr4f20w8cxqhr8zzc,BOTH_EMURGO_SEEDS,1,1,431874.981146000000,431874.981146000000
